,u0,u1,u2,x_sim0,x_sim1,x_sim2
0,10.0,10.0,10.0,66.0,65.46215778432115,66.0
1,10.0,10.0,10.0,66.00580445059023,65.47440011222045,66.48065318980755
2,10.0,10.0,10.0,66.00290629817667,65.4719935467825,66.49190944678
3,10.0,10.0,10.0,66.00006832918359,65.46912704510964,66.48939268541878
4,10.0,10.0,10.0,65.99753168700632,65.46625474109162,66.48650117983522
5,10.0,10.0,10.0,65.995286454461,65.46342197567888,66.48365695373543
6,10.0,10.0,10.0,65.99331460618284,65.46065668748194,66.48089626036808
7,10.0,10.0,10.0,65.99159746051679,65.45798141030525,66.47823937703726
8,10.0,10.0,10.0,65.99011617883178,65.45541412141603,66.47570194142098
9,10.0,10.0,10.0,65.98885201924793,65.45296873861307,66.47329574832084
10,10.0,10.0,10.0,65.98778654507342,65.45065558091204,66.47102920981746
11,10.0,10.0,10.0,65.9869017973075,65.44848180079137,66.4689077771212
12,10.0,10.0,10.0,65.98618043484022,65.44645178746708,66.46693433238976
13,10.0,10.0,10.0,65.98560584566653,65.44456754086931,66.46510955069542
14,10.0,10.0,10.0,65.98516223226136,65.44282901638636,66.46343223244214
15,10.0,10.0,10.0,65.9848346740849,65.4412344407796,66.46189960683199
16,10.0,10.0,10.0,65.98460917000133,65.43978059995399,66.46050760723247
17,10.0,10.0,10.0,65.98447266320449,65.43846309949832,66.45925111949967
18,10.0,10.0,10.0,65.9844130510517,65.4372765990927,66.45812420447153
19,10.0,10.0,10.0,65.98441918201705,65.43621502202262,66.45712029596602
20,10.0,10.0,10.0,65.98448084178695,65.43527174114455,66.45623237570415
21,10.0,10.0,10.0,65.9845887303388,65.43443974272043,66.45545312663455
22,10.0,10.0,10.0,65.98473443166628,65.43371176958397,66.45477506616507
23,10.0,10.0,10.0,65.98491037764646,65.43308044512177,66.45419066081394
24,10.0,10.0,10.0,65.98510980738251,65.4325383795522,66.45369242378145
25,10.0,10.0,10.0,65.98532672320437,65.43207825996676,66.45327299691459
26,10.0,10.0,10.0,65.9855558443665,65.43169292556664,66.45292521849596
27,10.0,10.0,10.0,65.98579255935002,65.43137542948183,66.45264217823633
28,10.0,10.0,10.0,65.98603287755202,65.43111908850655,66.45241726078976
29,10.0,10.0,10.0,65.98627338103225,65.43091752202227,66.45224417904369
30,10.0,10.0,10.0,65.98651117688294,65.4307646813132,66.45211699836439
31,10.0,10.0,10.0,65.98674385069292,65.43065487040653,66.4520301529048
32,10.0,10.0,10.0,65.98696942149137,65.430582759497,66.45197845500434
33,10.0,10.0,10.0,65.98718629847968,65.43054339193971,66.45195709863488
34,10.0,10.0,10.0,65.98739323979089,65.43053218571993,66.45196165776987
35,10.0,10.0,10.0,65.98758931345498,65.43054493023449,66.45198808047938
36,10.0,10.0,10.0,65.98777386069479,65.43057777914626,66.45203267948064
37,10.0,10.0,10.0,65.9879464616302,65.43062724000258,66.45209211980332
38,10.0,10.0,10.0,65.98810690342731,65.43069016124036,66.45216340416172
39,10.0,10.0,10.0,65.98825515089503,65.43076371713602,66.45224385656151
40,10.0,10.0,10.0,65.98839131950173,65.43084539119607,66.45233110460879
41,10.0,10.0,10.0,65.98851565075977,65.43093295842728,66.45242306093238
42,10.0,10.0,10.0,65.98862848990612,65.43102446686977,66.4525179040772
43,10.0,10.0,10.0,65.98873026579052,65.43111821872729,66.452614059178
44,10.0,10.0,10.0,65.98882147287016,65.43121275138104,66.45271017867759
45,10.0,10.0,10.0,65.98890265520048,65.43130681853144,66.45280512331202
46,10.0,10.0,10.0,65.98897439230477,65.43139937167261,66.45289794354838
47,10.0,10.0,10.0,65.98903728680114,65.43148954206877,66.45298786162628
48,11.0,10.0,10.0,65.98909195366286,65.43157662337002,66.45307425432367
49,11.0,10.0,10.0,66.01548722531571,65.43166005497567,66.45315663654077
50,11.0,10.0,10.0,66.04044858836234,65.43468815095437,66.45779366668455
51,11.0,10.0,10.0,66.0638695270533,65.44012159507649,66.46464849580859
52,11.0,10.0,10.0,66.08570783271907,65.44752319854096,66.47325106176177
53,18.0,10.0,10.0,66.10594752248069,65.45650116706754,66.48322795251353
54,18.0,10.0,10.0,66.30903164367108,65.46670541002091,66.49424830794692
55,29.0,11.0,10.0,66.50055797396074,65.49846645018859,66.53793306293093
56,29.0,11.0,10.0,66.96964575189898,65.54773761472929,66.4693765460954
57,29.0,11.0,10.0,67.4126380094053,65.64747040164154,66.5918030526216
58,33.0,11.0,10.0,67.82592750375804,65.78489565233264,66.75197160683928
59,36.0,11.0,10.0,68.31449765049412,65.95245099185047,66.93856495757632
60,36.0,11.0,10.0,68.84637202634075,66.15528483793419,67.16341549288663
61,36.0,11.0,10.0,69.33822361575662,66.39418962447944,67.42530170998099
62,36.0,33.0,10.0,69.79027353887237,66.66060307991738,67.71046916535258
63,36.0,33.0,11.0,70.20327489025793,66.94710442676497,65.18933052031073
64,36.0,33.0,11.0,70.62492877758834,67.33107362828596,65.65317344876371
65,36.0,33.0,11.0,71.00187989934994,67.71669874362883,66.04767381462874
66,36.0,36.0,11.0,71.33763268243322,68.10090102496443,66.43582596688405
67,36.0,36.0,11.0,71.63457572223062,68.47937611056342,66.43077779937917
68,36.0,36.0,18.0,71.90151416562591,68.85994112153861,66.79909863965237
69,42.0,36.0,18.0,72.13383157911518,69.22796779011485,68.23120353495334
70,42.0,36.0,29.0,72.47439400280143,69.54899968541476,68.57959256269594
71,42.0,36.0,29.0,72.77888049559171,69.8712474475726,70.58442583274609
72,42.0,36.0,29.0,73.02185324984485,70.14133917626367,70.90696628108631
73,42.0,36.0,33.0,73.2363470800672,70.40670510439773,71.17518676081379
74,42.0,36.0,36.0,73.42497596114535,70.66616329421622,72.04436528645405
75,42.0,36.0,36.0,73.57943794426356,70.89944545568326,72.75166037834991
76,42.0,42.0,36.0,73.70522466228168,71.10970366389842,72.97374097259646
77,42.0,42.0,36.0,73.81275162148934,71.3100542377552,72.4018187126869
78,42.0,42.0,36.0,73.91648269702607,71.52287270035987,72.58820073651454
79,42.0,42.0,36.0,74.00364306147794,71.72416455970372,72.7843667634963
80,10.0,42.0,36.0,74.07539517108984,71.91273752741242,72.96801301069932
81,10.0,42.0,36.0,73.29010801141732,72.08829091724475,73.13834217668602
82,10.0,42.0,36.0,72.53803989869708,72.15638196751624,73.14947538667145
83,10.0,42.0,36.0,71.82399701359972,72.13434508511173,73.07636584540633
84,10.0,42.0,36.0,71.150646321232,72.03639153901251,72.93436126552626
85,10.0,42.0,42.0,70.51973104211108,71.87539990707849,72.73582384794852
86,10.0,42.0,42.0,69.93221928736425,71.66301162003384,73.40660474423103
87,10.0,10.0,42.0,69.37331086639243,71.38249516646745,73.12709057685214
88,10.0,10.0,42.0,68.85966663645245,71.07092982145109,76.90086375155147
89,10.0,10.0,42.0,68.32306788658384,70.6154738747712,76.55107844595659
90,10.0,10.0,42.0,67.8381594525554,70.14801845526448,76.07682510788004
91,10.0,10.0,42.0,67.40464094132527,69.67904009342612,75.60146717971423
92,10.0,10.0,42.0,67.01980388038368,69.21444881014187,75.13372589366821
93,10.0,10.0,42.0,66.68072377709133,68.75910365026952,74.67808174697089
94,10.0,10.0,42.0,66.38438072331223,68.31700144757488,74.2380977553517
95,10.0,10.0,42.0,66.12771161853476,67.8913647039892,73.81659839589659
96,10.0,10.0,10.0,65.90765335834149,67.48472272886781,73.41575223464616
97,10.0,10.0,10.0,65.72117931702945,67.09898844715276,68.15840173605382
98,10.0,10.0,10.0,65.64587385774176,66.88054007505772,67.80311633870146
99,10.0,10.0,10.0,65.58859650285704,66.68228528341923,67.60715421114071
100,10.0,10.0,10.0,65.54499329736389,66.49983655742798,67.43122189664
101,10.0,10.0,10.0,65.51340807390531,66.33282204608402,67.2708918591788
102,10.0,10.0,10.0,65.49236121298398,66.18084689226723,67.12556613899268
103,10.0,10.0,10.0,65.48047771009766,66.04340106787653,66.99465805864051
104,10.0,10.0,10.0,65.4764855862317,65.91988026875165,66.87750259620621
105,10.0,10.0,10.0,65.47921509081289,65.80960756806209,66.7733736079984
106,10.0,10.0,10.0,65.48759686214099,65.71185267828803,66.68150182352156
107,10.0,10.0,10.0,65.50065917750929,65.6258488798876,66.6010906574577
108,10.0,10.0,10.0,65.51752446470385,65.55080777257626,66.5313299101844
109,10.0,10.0,10.0,65.53740523032229,65.48593200934069,66.4714075171109
110,10.0,10.0,10.0,65.5595995433626,65.43042617270285,66.42051950781757
111,10.0,10.0,10.0,65.5834861964736,65.38350595027072,66.37787833253516
112,10.0,10.0,10.0,65.60851965221791,65.34440576264326,66.34271970864651
113,10.0,10.0,10.0,65.63422486769912,65.31238499155802,66.31430813396628
114,10.0,10.0,10.0,65.66019207795347,65.28673295002707,66.29194120679566
115,10.0,10.0,10.0,65.68607160659529,65.26677272932488,66.27495288536372
116,10.0,10.0,10.0,65.71156876131575,65.25186405026443,66.2627158114427
117,10.0,10.0,10.0,65.73643886193886,65.24140523839846,66.25464281482107
118,10.0,10.0,10.0,65.76048243980158,65.23483443476195,66.25018770707423
119,10.0,10.0,10.0,65.78354063920384,65.23163014565884,66.2488454648097
120,10.0,10.0,10.0,65.80549084452568,65.23131122690201,66.25015189438179
121,10.0,10.0,10.0,65.82624255028045,65.23343638993309,66.25368286205578
122,10.0,10.0,10.0,65.84573348581618,65.23760330945748,66.25905316582192
123,10.0,10.0,10.0,65.86392600153773,65.24344740469104,66.26591511757384
124,10.0,10.0,10.0,65.88080371934755,65.25064035908093,66.27395689721504
125,10.0,10.0,10.0,65.8963684464399,65.25888843647243,66.28290073347738
126,10.0,10.0,10.0,65.91063734858022,65.26793064517514,66.292500959848
127,10.0,10.0,10.0,65.9236403765084,65.27753679525648,66.30254198802366
128,10.0,10.0,10.0,65.93541793706997,65.28750548867002,66.31283623574973
129,10.0,10.0,10.0,65.94601879906129,65.29766207651623,66.32322204075925
130,10.0,10.0,10.0,65.9554982225228,65.3078566128341,66.33356158780066
131,10.0,10.0,10.0,65.96391629929207,65.31796182982862,66.34373887142355
132,10.0,10.0,10.0,65.97133649199162,65.32787115534181,66.35365771326929
133,10.0,10.0,10.0,65.97782435824232,65.3374967896625,66.36323984907219
134,10.0,10.0,10.0,65.98344644672397,65.3467678554259,66.37242309740134
135,10.0,10.0,10.0,65.98826935172261,65.3556286313628,66.38115961934363
136,10.0,10.0,10.0,65.99235891297646,65.36403687799945,66.38941427582668
137,10.0,10.0,10.0,65.99577954793749,65.37196226106448,66.3971630870835
138,10.0,10.0,10.0,65.99859370397476,65.37938487630802,66.40439179685065
139,10.0,10.0,10.0,66.00086141854197,65.3862938776582,66.41109454224375
140,10.0,10.0,10.0,66.00263997589356,65.392686209113,66.41727262885047
141,10.0,10.0,10.0,66.0039836495441,65.39856543946827,66.42293340939877
142,10.0,10.0,10.0,66.00494352031228,65.40394069789721,66.42808926337804
143,10.0,10.0,10.0,66.00556736045668,65.40882570750075,66.43275667419294
144,10.0,10.0,10.0,66.0058995750884,65.41323791322668,66.43695539979569
145,10.0,10.0,10.0,66.00598119272293,65.41719769998674,66.44070773225454
146,10.0,10.0,10.0,66.00584989750367,65.42072769637,66.44403784135824
147,10.0,10.0,10.0,66.00554009628542,65.42385215904119,66.44697119711027
148,10.0,10.0,10.0,66.00508301440125,65.42659643270987,66.44953406582212
149,10.0,10.0,10.0,66.00450681454781,65.42898648044427,66.45175307445338
150,10.0,10.0,10.0,66.00383673380686,65.43104847907284,66.45365483786003
151,10.0,10.0,10.0,66.00309523437369,65.43280847445189,66.45526564368626
152,10.0,10.0,10.0,66.00230216408272,65.43429209147018,66.45661118976062
153,10.0,10.0,10.0,66.0014749233074,65.43552429380081,66.45771636902515
154,10.0,10.0,10.0,66.00062863526315,65.43652918858774,66.45860509722638
155,10.0,10.0,10.0,65.99977631716044,65.43732987146171,66.45930017882439
156,10.0,10.0,10.0,65.9989290500382,65.43794830751033,66.4598232068212
157,10.0,10.0,10.0,65.99809614545867,65.4384052440736,66.46019449246947
158,10.0,10.0,10.0,65.99728530756241,65.4387201514945,66.46043302108932
159,10.0,10.0,10.0,65.99650278926931,65.43891118821759,66.4605564304922
160,10.0,10.0,10.0,65.9957535416681,65.43899518689598,66.46058100878145
161,10.0,10.0,10.0,65.99504135586608,65.438987658431,66.4605217085666
162,10.0,10.0,10.0,65.99436899677268,65.43890281113048,66.4603921748908
163,10.0,10.0,10.0,65.99373832846771,65.43875358242516,66.46020478442247
164,10.0,10.0,10.0,65.9931504309595,65.43855168082868,66.45997069370775
165,10.0,10.0,10.0,65.99260570827025,65.43830763606067,66.4596998945109
166,10.0,10.0,10.0,65.99210398789947,65.43803085547742,66.45940127449023
167,10.0,10.0,10.0,65.9916446118107,65.43772968516463,66.4590826816641
168,10.0,10.0,10.0,65.99122651916556,65.43741147424569,66.45875099131429
169,10.0,10.0,10.0,65.99084832109283,65.43708264114356,66.45841217415428
170,10.0,10.0,10.0,65.99050836783059,65.43674874070561,66.45807136475514
171,10.0,10.0,10.0,65.99020480861851,65.43641453125912,66.45773292937456
172,10.0,10.0,10.0,65.9899356447452,65.43608404080918,66.45740053247327
173,10.0,10.0,10.0,65.98969877617459,65.43576063172324,66.45707720132899
174,10.0,10.0,10.0,65.98949204218687,65.43544706336507,66.45676538827195
175,10.0,10.0,10.0,65.98931325647271,65.43514555224878,66.45646703016769
176,10.0,10.0,10.0,65.98916023711915,65.43485782937867,66.45618360486326
177,10.0,10.0,10.0,65.98903083191718,65.43458519452658,66.45591618439299
178,10.0,10.0,10.0,65.98892293941203,65.43432856727227,66.45566548481011
179,10.0,10.0,10.0,65.98883452610171,65.43408853469857,66.45543191257113
180,10.0,10.0,10.0,65.98876364017325,65.43386539568914,66.45521560745226
181,10.0,10.0,10.0,65.9887084221472,65.43365920182542,66.45501648202189
182,10.0,10.0,10.0,65.98866711278046,65.43346979492027,66.45483425773016
183,10.0,10.0,10.0,65.98863805855629,65.4332968412601,66.45466849770756
184,10.0,10.0,10.0,65.9886197150682,65.4331398626553,66.45451863638985
185,10.0,10.0,10.0,65.98861064858247,65.43299826442174,66.45438400610556
186,10.0,10.0,10.0,65.98860953604154,65.43287136043334,66.45426386077864
187,10.0,10.0,10.0,65.98861516374868,65.43275839539908,66.45415739690834
188,10.0,10.0,10.0,65.98862642495327,65.43265856452744,66.4540637719968
189,10.0,10.0,10.0,65.98864231653465,65.43257103074707,66.45398212059852
190,10.0,10.0,10.0,65.98866193496347,65.43249493965536,66.45391156816737
191,10.0,10.0,10.0,65.98868447169988,65.4324294323676,66.45385124287607
192,10.0,10.0,10.0,65.98870920817025,65.4323736564375,66.4538002855799
193,10.0,10.0,10.0,65.98873551044731,65.43232677501636,66.45375785809263
194,10.0,10.0,10.0,65.98876282374283,65.43228797441368,66.45372314993598
195,10.0,10.0,10.0,65.98879066680725,65.43225647021566,66.45369538371814
196,11.0,10.0,10.0,65.98881862631742,65.4322315121113,66.45367381928841
197,11.0,10.0,10.0,66.01519456564834,65.43221238756772,66.45365775680757
198,11.0,10.0,10.0,66.04014306399974,65.43514716921506,66.45820555977778
199,11.0,10.0,10.0,66.06355676116421,65.4404962265612,66.46498002006066
200,11.0,10.0,10.0,66.08539266730715,65.44782199869498,66.47351066622065
201,18.0,10.0,10.0,66.10563408121722,65.45673227473348,66.4834236394517
202,18.0,10.0,10.0,66.30872339359064,65.4668765147711,66.49438760647458
203,29.0,11.0,10.0,66.50025778546019,65.49858477004723,66.5380230123148
204,29.0,11.0,10.0,66.96935595658704,65.54780988294719,66.46942368748446
205,29.0,11.0,10.0,67.41236045544527,65.64750286128447,66.59181342798183
206,33.0,11.0,10.0,67.82566360843126,65.78489405754227,66.7519507639977
207,36.0,11.0,10.0,68.31424844978683,65.95242061473397,66.93851796037204
208,36.0,11.0,10.0,68.84613822142299,66.15523048013176,67.1633469355202
209,36.0,11.0,10.0,69.33800561627909,66.39411563255076,67.42521573474356
210,36.0,33.0,10.0,69.79007150305624,66.66051336377436,67.71036948300231
211,36.0,33.0,11.0,70.20308876179513,66.94700248046149,65.18922043244544
212,36.0,33.0,11.0,70.62475831940466,67.33096255255354,65.65305587161534
213,36.0,33.0,11.0,71.00172472431288,67.71658126962022,66.0475513037771
214,36.0,36.0,11.0,71.33749228111,68.1007795387363,66.4357007424534
215,36.0,36.0,11.0,71.63444948782109,68.47925267789235,66.43065177134345
216,36.0,36.0,18.0,71.90140141620878,68.85981751272352,66.79897343293051
217,42.0,36.0,18.0,72.13373157735752,69.22784550447258,68.23108051402855
218,42.0,36.0,29.0,72.47430597328764,69.54887997522435,68.57947285553897
219,42.0,36.0,29.0,72.778803639933,69.87113134126817,70.58431035386498
220,42.0,36.0,29.0,73.02178675973161,70.14122750071554,70.90685575356285
221,42.0,36.0,33.0,73.23629014842605,70.40659850615724,71.17508173722052
222,42.0,36.0,36.0,73.42492779156048,70.66606225963068,72.0442661685755
223,42.0,36.0,36.0,73.57939775881778,70.8993503298163,72.75156743565738
224,42.0,42.0,36.0,73.70519170796773,71.10961466821425,72.97365435944884
225,42.0,42.0,36.0,73.8127251753354,71.30997148654707,72.40173848424925
226,42.0,42.0,36.0,73.91646207007301,71.52279621592064,72.58812686340227
227,42.0,42.0,36.0,74.003627601738,71.72409428625198,72.78429914516745
228,10.0,42.0,36.0,74.07538426560848,71.91267334380035,72.96795148762853
229,10.0,42.0,36.0,73.29010108755223,72.08823264848414,73.13828654136293
230,10.0,42.0,36.0,72.53803642471979,72.15632939516772,73.14942539347416
231,10.0,42.0,36.0,71.82399649871712,72.13429795658895,73.07632121940554
232,10.0,42.0,36.0,71.15064831511694,72.0363495758578,72.93432171028054
233,10.0,42.0,42.0,70.51973513402355,71.87536281226997,72.73578905235316
234,10.0,42.0,42.0,69.93222510493662,71.66297908438658,73.40657438848513
235,10.0,10.0,42.0,69.37331807414503,71.38246687419195,73.12706433760877
236,10.0,10.0,42.0,68.85967493409883,71.07090545493304,76.90084130631575
237,10.0,10.0,42.0,68.32307700717836,70.6154531186357,76.55105947679493
238,10.0,10.0,42.0,67.83816916052939,70.14800099978659,76.07680930450312
239,10.0,10.0,42.0,67.40465103045251,69.67902563734808,75.6014542419932
240,10.0,10.0,42.0,67.01981417171024,69.21443706295484,75.13371553364192
241,10.0,10.0,42.0,66.68073411685992,68.75909433401542,74.67807369039838
242,10.0,10.0,42.0,66.38439098090672,68.31699429822069,74.23809174286205
243,10.0,10.0,42.0,66.127721684466,67.89135947242353,73.81659418378396
244,10.0,10.0,10.0,65.9076631422924,67.48471918156599,73.41574959535598
245,10.0,10.0,10.0,65.72118874597325,67.09898636655369,68.15840045840135
