,u0,u1,u2,x_fil0,x_fil1,x_fil2
0,10.0,10.0,10.0,66.0,65.46215778432115,66.0
1,10.0,10.0,10.0,66.0,65.66380023631407,66.0
2,10.0,10.0,10.0,66.0,66.0,66.0
3,10.0,10.0,10.0,66.0,65.88793341210469,66.0
4,10.0,10.0,10.0,66.0,65.85807479073881,66.0
5,10.0,10.0,10.0,66.0,65.8383003927364,66.0
6,10.0,10.0,10.0,66.0,65.83138280884017,66.0
7,10.0,10.0,10.0,66.0,65.8383003927364,66.0
8,10.0,10.0,10.0,66.0,65.74600820284351,66.0
9,10.0,10.0,10.0,66.0,65.74600820284351,66.0
10,10.0,10.0,10.0,65.88793341210469,65.8383003927364,66.0
11,10.0,10.0,10.0,65.85807479073881,65.49518304515425,66.0
12,10.0,10.0,10.0,65.8383003927364,65.07632500126692,66.0
13,10.0,10.0,10.0,65.83138280884017,64.94720034116447,66.0
14,10.0,10.0,10.0,65.8383003927364,64.89698301683443,66.0
15,10.0,10.0,10.0,65.85807479073881,65.00904960472973,66.0
16,10.0,10.0,10.0,65.88793341210469,65.08912555042565,66.0
17,10.0,10.0,10.0,66.0,65.23802460853052,66.0
18,10.0,10.0,10.0,66.0,65.66380023631407,66.0
19,10.0,10.0,10.0,66.0,66.0,66.0
20,10.0,10.0,10.0,66.0,65.88793341210469,66.0
21,10.0,10.0,10.0,66.0,65.85807479073881,66.0
22,10.0,10.0,10.0,66.0,65.8383003927364,66.0
23,10.0,10.0,10.0,66.0,65.83138280884017,66.0
24,10.0,10.0,10.0,66.0,65.8383003927364,66.0
25,10.0,10.0,10.0,66.0,65.85807479073881,66.0
26,10.0,10.0,10.0,66.0,65.88793341210469,66.0
27,10.0,10.0,10.0,66.0,66.0,66.0
28,10.0,10.0,10.0,66.0,66.0,66.0
29,10.0,10.0,10.0,66.0,66.0,66.0
30,10.0,10.0,10.0,66.0,66.0,66.0
31,10.0,10.0,10.0,66.0,66.1120665878953,66.0
32,10.0,10.0,10.0,66.0,66.14192520926117,66.0
33,10.0,10.0,10.0,66.0,66.1616996072636,66.0
34,10.0,10.0,10.0,66.0,66.16861719115983,66.0
35,10.0,10.0,10.0,66.0,66.1616996072636,66.0
36,10.0,10.0,10.0,66.0,66.14192520926117,66.0
37,10.0,10.0,10.0,66.0,66.1120665878953,66.0
38,10.0,10.0,10.0,66.0,66.0,66.0
39,10.0,10.0,10.0,66.0,66.0,66.0
40,10.0,10.0,10.0,66.0,66.0,66.0
41,10.0,10.0,10.0,66.1120665878953,66.0,66.0
42,10.0,10.0,10.0,66.14192520926117,66.0,66.0
43,10.0,10.0,10.0,66.2737661951589,66.0,66.0
44,10.0,10.0,10.0,66.310542400421,66.0,66.0
45,10.0,10.0,10.0,66.4354658024225,66.0,66.0
46,10.0,10.0,10.0,66.45246760968219,66.0,66.0
47,10.0,10.0,10.0,66.4354658024225,66.0,66.0
48,11.0,10.0,10.0,66.310542400421,66.0,66.0
49,11.0,10.0,10.0,66.2737661951589,66.0,66.0
50,11.0,10.0,10.0,66.25399179715649,66.0,66.0
51,11.0,10.0,10.0,66.36605838505179,66.0,66.0
52,11.0,10.0,10.0,66.30362481652477,66.0,66.0
53,18.0,10.0,10.0,66.44238338631872,66.0,66.0
54,18.0,10.0,10.0,66.5843085955799,66.0,66.0
55,29.0,11.0,10.0,66.71931622094486,66.0,66.0
56,29.0,11.0,10.0,67.17450015642233,66.1120665878953,66.0
57,29.0,11.0,10.0,67.62005018220827,66.25399179715649,66.0
58,33.0,11.0,10.0,67.91087444957432,66.30362481652477,66.0
59,36.0,11.0,10.0,68.35700878032205,66.33031679842342,66.0
60,36.0,11.0,10.0,69.22096653632337,66.33031679842341,66.0
