,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,705.096513,0.0,0.0,0.0,-14.564842232561013,-62.90927612586818,-29.964656623809265,18.0,79.0,75.0,21.0,21.0,20.0,9.0,9.0,9.0,87.0,0.0
1,705.242887,0.0,0.0,0.0,-11.858293488697623,-51.266040056212326,-23.996428246946625,18.0,74.0,76.0,29.0,29.0,28.0,9.0,9.0,9.0,88.0,0.0
2,705.405546,0.0,0.0,0.0,-9.824852732710685,-41.55593226655863,-19.231231374245468,17.0,77.0,75.0,35.0,35.0,33.0,9.0,9.0,9.0,86.0,0.0
3,705.554586,0.0,0.0,0.0,-8.052612572832363,-33.7262540694851,-15.38010096705537,18.0,76.0,75.0,41.0,41.0,38.0,9.0,9.0,9.0,86.0,0.0
4,705.704293,0.0,0.0,0.0,-6.733757689366217,-27.86417313260994,-12.173223252588208,17.0,73.0,76.0,45.0,44.0,42.0,9.0,9.0,9.0,87.0,0.0
5,705.863505,0.0,0.0,0.0,-5.696156489374526,-23.201522594306716,-9.473836962677073,17.0,73.0,77.0,48.0,48.0,46.0,9.0,9.0,9.0,87.0,0.0
6,706.013137,0.0,0.0,0.0,-4.852711210468937,-19.101666474214355,-7.032041429804633,17.0,75.0,80.0,51.0,51.0,49.0,9.0,9.0,9.0,85.0,0.0
7,706.159607,0.0,0.0,0.0,-3.8573886270743722,-15.859201584940962,-5.541310768451706,19.0,74.0,73.0,53.0,53.0,51.0,9.0,9.0,9.0,84.0,0.0
8,706.317183,0.0,0.0,0.0,-3.4472803723862357,-12.949575982601864,-3.75014592059365,16.0,76.0,82.0,55.0,55.0,54.0,9.0,9.0,9.0,86.0,0.0
9,706.476261,0.0,0.0,0.0,-3.2151690367321875,-10.673835217891266,-2.3757692505793715,16.0,75.0,79.0,56.0,57.0,55.0,9.0,9.0,9.0,87.0,0.0
10,706.634197,0.0,0.0,0.0,-2.7149333850077157,-8.859433515828641,-1.3115799143306903,18.0,75.0,79.0,58.0,58.0,57.0,9.0,9.0,9.0,86.0,0.0
11,706.786238,0.0,0.0,0.0,-2.3967153738436524,-7.2300021060682695,-0.5240665137145273,17.0,76.0,78.0,59.0,59.0,58.0,9.0,9.0,9.0,84.0,0.0
12,706.937201,0.0,0.0,0.0,-2.017726846566931,-6.027886767336298,0.40926896028871607,18.0,75.0,82.0,60.0,60.0,59.0,9.0,9.0,9.0,88.0,0.0
13,707.094382,0.0,0.0,0.0,-1.6761182132805001,-4.7751870462098225,0.9243219457707808,18.0,77.0,78.0,61.0,61.0,60.0,9.0,9.0,9.0,86.0,0.0
14,707.244971,0.0,0.0,0.0,-1.2440859823555042,-4.310459432140675,0.9649943699177639,19.0,73.0,74.0,62.0,62.0,61.0,9.0,9.0,9.0,85.0,0.0
15,707.392489,0.0,0.0,0.0,-1.1699452926918892,-3.9121510846478458,0.9325129668907719,17.0,74.0,74.0,62.0,62.0,61.0,9.0,9.0,9.0,85.0,0.0
16,707.538851,0.0,0.0,0.0,-0.8668501089283898,-3.70805318362801,1.2175539078484858,19.0,73.0,78.0,62.0,63.0,62.0,9.0,9.0,9.0,86.0,0.0
17,707.685047,0.0,0.0,0.0,-0.5529283792784416,-3.8857880192981042,1.2058008087771652,19.0,71.0,74.0,63.0,63.0,62.0,9.0,9.0,9.0,87.0,0.0
18,707.840102,0.0,0.0,0.0,-0.6089525803058504,-3.7862543064573373,1.283461270797214,17.0,73.0,76.0,63.0,63.0,62.0,9.0,9.0,9.0,85.0,0.0
19,707.999498,0.0,0.0,0.0,-0.5662151020912103,-3.637516363328075,1.2258709820506253,18.0,73.0,74.0,63.0,63.0,63.0,9.0,9.0,9.0,85.0,0.0
20,708.148011,0.0,0.0,0.0,-0.18695309826020123,-3.8277620911195385,1.2228972291600924,20.0,71.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,86.0,0.0
21,708.298838,0.0,0.0,0.0,0.03226702447394869,-3.1190161387459483,1.0051017576799053,19.0,77.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,84.0,0.0
22,708.447322,0.0,0.0,0.0,-0.13426568654581006,-2.6523287422738946,0.7005374254202108,17.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,87.0,0.0
23,708.604215,0.0,0.0,0.0,-0.33566287571191866,-2.4982442251185404,0.5923354763826749,17.0,74.0,73.0,64.0,64.0,64.0,9.0,9.0,9.0,83.0,0.0
24,708.762561,0.0,0.0,0.0,-0.18793304816928158,-2.4056669647157065,0.7706660197023565,19.0,74.0,76.0,64.0,64.0,64.0,9.0,9.0,9.0,84.0,0.0
25,708.92862,0.0,0.0,0.0,-0.31122262100236897,-2.1745907359960768,0.7323616588914588,17.0,75.0,73.0,64.0,65.0,64.0,9.0,9.0,9.0,87.0,0.0
26,709.081045,0.0,0.0,0.0,-0.4791834238844008,-1.7985257401363839,0.8053315318074636,17.0,76.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
27,709.229343,0.0,0.0,0.0,-0.6145852810893584,-1.4603520186471854,1.2087090286150213,17.0,76.0,79.0,65.0,65.0,64.0,9.0,9.0,9.0,83.0,0.0
28,709.386468,0.0,0.0,0.0,-0.5693796221971614,-1.9613602430835897,1.2149855196246078,18.0,71.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,0.0
29,709.536874,0.0,0.0,0.0,-0.49940304476776065,-2.069821515684552,1.2905713380587285,18.0,74.0,76.0,65.0,65.0,64.0,9.0,9.0,9.0,83.0,0.0
30,709.698024,0.0,0.0,0.0,-0.5981690129747048,-2.0550438010758825,1.1541075557020362,17.0,74.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
31,709.854587,0.0,0.0,0.0,-0.556761372760548,-2.3544579359442537,0.9154492160317629,18.0,72.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,83.0,0.0
32,710.004276,0.0,0.0,0.0,-0.3342115631346627,-3.129608275243214,0.86072532004638,19.0,69.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,87.0,0.0
33,710.151289,0.0,0.0,0.0,-0.4306760258722737,-3.392887104738321,0.8499952229399126,17.0,72.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
34,710.320981,0.0,0.0,0.0,-0.4213000003408678,-3.0399147998775646,0.7631873894041261,18.0,75.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,83.0,0.0
35,710.513973,0.0,0.0,0.0,-0.5342670579063236,-2.499906992163943,0.830945111937825,17.0,76.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
36,710.698319,0.0,0.0,0.0,-0.814756624143357,-2.4950696952403746,1.1521030318017464,16.0,73.0,78.0,65.0,65.0,64.0,9.0,9.0,9.0,83.0,0.0
37,710.870645,0.0,0.0,0.0,-1.0754092451838493,-2.2817806887826038,1.2298496578848228,16.0,75.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
38,711.028166,0.0,0.0,0.0,-1.2864536377224494,-2.1951805572630434,0.932068646247667,16.0,74.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
39,711.175278,0.0,0.0,0.0,-1.4578339995300529,-2.31406872050637,0.7794001895330238,16.0,73.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,0.0
40,711.320936,0.0,0.0,0.0,-1.287055254649705,-1.978507975956063,0.8450238424947925,18.0,76.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
41,711.475716,0.0,0.0,0.0,-1.081753583236026,-2.070365860873565,1.008661158968084,18.0,73.0,76.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,0.0
42,711.659825,0.0,0.0,0.0,-0.7611736339401216,-1.781557690787622,0.8475036452449869,19.0,76.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
43,711.83423,0.0,0.0,0.0,-0.6226349334644259,-1.7555528809369036,0.6496468749506432,18.0,74.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,87.0,0.0
44,711.995822,0.0,0.0,0.0,-0.698958064249791,-1.9575250864672569,0.41258988845541733,17.0,73.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
45,712.147575,0.0,0.0,0.0,-1.1037409556476274,-1.6889403328790564,0.28104585939752535,15.0,76.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
46,712.298307,0.0,0.0,0.0,-1.188420579798667,-1.8351109873327687,0.0360883454651626,17.0,73.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
47,712.447315,0.0,0.0,0.0,-1.4993861455131605,-1.590440366096388,-0.19645260715387725,15.0,76.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,0.0
48,712.595958,0.0,0.0,0.0,-1.5096123267542763,-1.7553006013891093,-0.1522942008428716,17.0,73.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
49,712.759224,0.0,0.0,0.0,-1.9153661824628196,-1.6805825632974063,-0.06640745794868952,14.0,75.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
50,712.911394,0.0,0.0,0.0,-2.03583697238765,-1.5517957014641865,-0.15256782686526993,16.0,75.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,0.0
51,713.057895,0.0,0.0,0.0,-2.065520586518738,-1.1380699025250465,-0.10096053504991875,16.0,77.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
52,713.203825,0.0,0.0,0.0,-1.9355581884942064,-1.355650992101431,-0.33514579576730785,17.0,73.0,69.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,0.0
53,713.351558,0.0,0.0,0.0,-1.4868896421381064,-1.5117099495388828,-0.35996759522190747,19.0,74.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,82.0,0.0
54,713.505321,0.0,0.0,0.0,-1.366429978108656,-1.9129706617100481,-0.2515900328335663,17.0,72.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
55,713.668237,0.0,0.0,0.0,-1.4914416220990216,-1.8407274820342678,-0.07012775463508536,16.0,75.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
56,713.818226,0.0,0.0,0.0,-1.3152030247585462,-1.8361303478245787,0.17097742129212445,18.0,74.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,83.0,0.0
57,713.964401,0.0,0.0,0.0,-1.4146840460047945,-1.867311549736371,-0.0043575502594110915,16.0,74.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
58,714.112411,0.0,0.0,0.0,-1.4082126861338549,-1.7373073109382915,0.0021732511988501457,17.0,75.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
59,714.258562,0.0,0.0,0.0,-1.0586216397606774,-1.4432764070419921,0.13638657719567515,19.0,76.0,74.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,0.0
60,714.405621,0.0,0.0,0.0,-1.0184851383888298,-1.636779562221733,0.10635747432626896,17.0,73.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,0.0
61,714.682734,0.0,0.0,0.0,-0.8987586638963347,-1.4294845295561203,0.12572184866121017,18.0,76.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,87.0,550.9639653379957
62,714.92625,0.0,0.0,0.0,-1.07717069278262,-1.0044779817698668,0.003672126152319599,16.0,77.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,86.0,536.4928269344758
63,715.171257,0.0,0.0,0.0,-0.8240574565414325,-1.2475195654243123,0.18104371446984668,19.0,73.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,517.4764721498599
64,715.420438,0.0,0.0,0.0,-1.2925337633305074,-1.578988777522028,0.4697559493292287,14.0,73.0,76.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,527.2864873390088
65,715.667206,0.0,0.0,0.0,-1.3761325835365885,-1.6908740056196194,0.3322977591584175,17.0,74.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,573.4437337534553
66,715.913208,0.0,0.0,0.0,-1.0314314683817938,-2.213167951371105,0.6794723270883578,19.0,71.0,78.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,576.5427872430503
67,716.159805,0.0,0.0,0.0,-1.306232756454357,-2.1179411266384847,0.5369672853169005,15.0,75.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,84.0,632.1322363799009
68,716.406243,0.0,0.0,0.0,-1.3541207124376027,-2.3707428624281306,0.225300413631909,17.0,72.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,621.7382760083133
69,716.650179,0.0,0.0,0.0,-1.1691479007108723,-2.0580839490248763,0.34478415284513186,18.0,76.0,75.0,65.0,65.0,64.0,9.0,9.0,9.0,85.0,625.3001897122429
