,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,682.827231,0.0,0.0,0.0,-14.409832952123427,-63.52931324761853,-29.887151983590474,19.0,75.0,76.0,21.0,21.0,20.0,9.0,9.0,9.0,80.0,0.0
1,682.977312,0.0,0.0,0.0,-11.699084739058598,-51.74786577433083,-23.839319231908316,18.0,75.0,77.0,29.0,29.0,28.0,9.0,9.0,9.0,80.0,0.0
2,683.12405,0.0,0.0,0.0,-9.851129658064476,-41.911652937254786,-19.24227010232164,16.0,77.0,73.0,35.0,35.0,34.0,9.0,9.0,9.0,81.0,0.0
3,683.270291,0.0,0.0,0.0,-7.952315593264399,-34.32552607035408,-15.267686034330211,19.0,74.0,77.0,41.0,41.0,39.0,9.0,9.0,9.0,80.0,0.0
4,683.416747,0.0,0.0,0.0,-6.9283946927833115,-28.262705554292417,-11.970541411978065,15.0,74.0,77.0,45.0,45.0,43.0,9.0,9.0,9.0,81.0,0.0
5,683.574575,0.0,0.0,0.0,-5.921363138613686,-23.33576388639282,-9.52557054888588,17.0,74.0,74.0,48.0,48.0,47.0,9.0,9.0,9.0,83.0,0.0
6,683.725435,0.0,0.0,0.0,-5.034550143703934,-19.177881287570038,-7.356906294115842,17.0,75.0,77.0,51.0,51.0,50.0,9.0,9.0,9.0,82.0,0.0
7,683.876869,0.0,0.0,0.0,-4.15993880633648,-15.611817173095865,-5.4667426455779315,18.0,76.0,78.0,53.0,54.0,52.0,9.0,9.0,9.0,82.0,0.0
8,684.022969,0.0,0.0,0.0,-3.2613497828616866,-12.8371197439945,-3.9153412037742017,19.0,75.0,78.0,55.0,56.0,54.0,9.0,9.0,9.0,79.0,0.0
9,684.169418,0.0,0.0,0.0,-2.6536505163779944,-10.616959728127696,-2.422936509545001,18.0,75.0,81.0,56.0,57.0,56.0,9.0,9.0,9.0,81.0,0.0
10,684.315511,0.0,0.0,0.0,-2.348946338509527,-8.812790995170374,-1.0831183249822418,17.0,75.0,82.0,57.0,59.0,57.0,9.0,9.0,9.0,79.0,0.0
11,684.473818,0.0,0.0,0.0,-2.2891621480486792,-7.9670454855919814,-0.2889488690847246,16.0,71.0,78.0,58.0,60.0,58.0,9.0,9.0,9.0,80.0,0.0
12,684.636326,0.0,0.0,0.0,-2.2731714841510664,-6.79307281441379,0.2892329820196009,16.0,75.0,78.0,59.0,61.0,59.0,9.0,9.0,9.0,80.0,0.0
13,684.786732,0.0,0.0,0.0,-2.1044947718814244,-6.478844229972722,0.7601333706019231,17.0,70.0,78.0,60.0,62.0,60.0,9.0,9.0,9.0,82.0,0.0
14,684.933685,0.0,0.0,0.0,-1.779101607572859,-6.237055300052631,0.9103471711580324,18.0,71.0,75.0,61.0,62.0,61.0,9.0,9.0,9.0,80.0,0.0
15,685.079928,0.0,0.0,0.0,-1.4820943989460713,-5.694684912749608,0.982430301710326,18.0,73.0,75.0,62.0,63.0,61.0,9.0,9.0,9.0,79.0,0.0
16,685.226208,0.0,0.0,0.0,-1.3965086805677491,-5.497653891121459,0.8093884941200526,17.0,71.0,72.0,62.0,63.0,62.0,9.0,9.0,9.0,80.0,0.0
17,685.396703,0.0,0.0,0.0,-1.050313084867391,-5.095501351117889,0.6965207556821751,19.0,73.0,73.0,63.0,63.0,62.0,9.0,9.0,9.0,80.0,0.0
18,685.557212,0.0,0.0,0.0,-0.8568956426179963,-4.391152394945948,0.6998637702066572,18.0,75.0,74.0,63.0,64.0,62.0,9.0,9.0,9.0,81.0,0.0
19,685.704912,0.0,0.0,0.0,-0.7341772916943303,-3.2883774235140777,0.7965491431713643,18.0,78.0,75.0,63.0,64.0,63.0,9.0,9.0,9.0,80.0,0.0
