,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,1505.518678,0.0,0.0,0.0,-14.874860793436188,-63.52931324761853,-29.887151983590474,16.0,75.0,76.0,21.0,21.0,20.0,9.0,9.0,9.0,102.0,0.0
1,1505.665073,0.0,0.0,0.0,-12.176710987975667,-51.28283793301807,-24.071833152564697,18.0,78.0,74.0,29.0,29.0,28.0,9.0,9.0,9.0,101.0,0.0
2,1505.812331,0.0,0.0,0.0,-9.772298882003103,-41.589035968775306,-19.636092507217768,19.0,76.0,71.0,34.0,35.0,34.0,9.0,9.0,9.0,101.0,0.0
3,1505.970643,0.0,0.0,0.0,-8.253206531968285,-33.633509913428945,-15.697497956813724,16.0,77.0,76.0,40.0,41.0,39.0,9.0,9.0,9.0,103.0,0.0
4,1506.140679,0.0,0.0,0.0,-6.9645208042823805,-28.06535015546372,-12.568136735691844,17.0,71.0,74.0,44.0,45.0,43.0,9.0,9.0,9.0,103.0,0.0
5,1506.304459,0.0,0.0,0.0,-5.882578189452299,-23.431983310556923,-10.060604044009985,17.0,73.0,74.0,47.0,48.0,47.0,9.0,9.0,9.0,101.0,0.0
6,1506.457851,0.0,0.0,0.0,-5.003962764334125,-19.44278736831923,-8.100639190490988,17.0,74.0,73.0,50.0,51.0,50.0,9.0,9.0,9.0,102.0,0.0
7,1506.604449,0.0,0.0,0.0,-4.445320465815677,-16.32443144725744,-6.292393360222648,16.0,73.0,76.0,53.0,54.0,52.0,9.0,9.0,9.0,101.0,0.0
8,1506.750882,0.0,0.0,0.0,-3.7147317077411577,-13.670243887195781,-4.463167759729662,18.0,74.0,80.0,55.0,55.0,54.0,9.0,9.0,9.0,101.0,0.0
9,1506.908942,0.0,0.0,0.0,-3.054041948019802,-11.790194020520119,-3.298954350994113,18.0,72.0,75.0,56.0,57.0,56.0,9.0,9.0,9.0,101.0,0.0
10,1507.059643,0.0,0.0,0.0,-2.5184349084859514,-10.019918113439118,-2.205196413977764,18.0,74.0,78.0,57.0,58.0,57.0,9.0,9.0,9.0,101.0,0.0
11,1507.205748,0.0,0.0,0.0,-2.083495817149168,-8.669098224743763,-1.4203580891566618,18.0,73.0,76.0,58.0,59.0,58.0,9.0,9.0,9.0,101.0,0.0
12,1507.354882,0.0,0.0,0.0,-1.8851376401687476,-7.606019639340744,-0.8167200174413951,17.0,73.0,76.0,59.0,60.0,59.0,9.0,9.0,9.0,100.0,0.0
13,1507.504858,0.0,0.0,0.0,-1.7572768325846515,-6.276948391635202,-0.5584002805832968,17.0,76.0,73.0,60.0,61.0,60.0,9.0,9.0,9.0,100.0,0.0
14,1507.651346,0.0,0.0,0.0,-1.4977878180289363,-5.7173070718613985,-0.7083772533930857,18.0,72.0,69.0,61.0,62.0,61.0,9.0,9.0,9.0,103.0,0.0
15,1507.820728,0.0,0.0,0.0,-1.4086259677303166,-5.39762145199947,-0.7408741061299837,17.0,72.0,71.0,61.0,62.0,61.0,9.0,9.0,9.0,102.0,0.0
16,1507.976638,0.0,0.0,0.0,-1.3700933463207083,-4.82571754512216,-0.5001378064483193,17.0,74.0,74.0,62.0,63.0,62.0,9.0,9.0,9.0,100.0,0.0
17,1508.122585,0.0,0.0,0.0,-1.0282475222926846,-4.1391608495765695,-0.4876175679347883,19.0,75.0,71.0,62.0,63.0,62.0,9.0,9.0,9.0,101.0,0.0
18,1508.268606,0.0,0.0,0.0,-0.8388855517483695,-3.859418551693679,-0.6058924837297939,18.0,73.0,70.0,63.0,63.0,62.0,9.0,9.0,9.0,101.0,0.0
19,1508.41518,0.0,0.0,0.0,-0.5645502658172465,-3.544483039794116,-0.17528606750792353,19.0,74.0,77.0,63.0,64.0,63.0,9.0,9.0,9.0,102.0,0.0
20,1508.561152,0.0,0.0,0.0,-0.7729906771528445,-3.5642140951712946,-0.17356181918215174,16.0,72.0,71.0,63.0,64.0,63.0,9.0,9.0,9.0,102.0,0.0
21,1508.74899,0.0,0.0,0.0,-1.0426641514147978,-3.6472325177665255,-0.04159419781971696,16.0,72.0,74.0,63.0,64.0,63.0,9.0,9.0,9.0,101.0,0.0
22,1508.910132,0.0,0.0,0.0,-1.1050132495997116,-3.713573810258083,-0.11545658164383088,17.0,72.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,101.0,0.0
23,1509.056101,0.0,0.0,0.0,-0.9671073938356511,-3.147247552720927,-0.07098400128498117,18.0,76.0,73.0,64.0,65.0,64.0,9.0,9.0,9.0,100.0,0.0
24,1509.201738,0.0,0.0,0.0,-0.9774509684810551,-2.8640932102349836,0.07667080140474081,17.0,74.0,74.0,64.0,65.0,64.0,9.0,9.0,9.0,102.0,0.0
25,1509.34916,0.0,0.0,0.0,-1.174832340084731,-2.85805904773747,0.21280712915748534,16.0,73.0,74.0,64.0,65.0,64.0,9.0,9.0,9.0,100.0,0.0
26,1509.504334,0.0,0.0,0.0,-1.3679275886651934,-3.0405702510537935,0.3229931444673282,16.0,72.0,74.0,64.0,65.0,64.0,9.0,9.0,9.0,102.0,0.0
27,1509.666474,0.0,0.0,0.0,-1.2140737420615264,-2.756264137374032,0.25747065054001705,18.0,75.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,101.0,0.0
