,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,J
0,971.550234,0.0,0.0,0.0,-9.502307938059134,-40.143751198038274,-19.888586178717986,17.0,79.0,73.0,21.0,21.0,20.0,9.0,9.0,9.0,0.0
1,971.699887,0.0,0.0,0.0,-8.01906289551133,-32.63662757323773,-16.12121064755484,16.0,77.0,75.0,28.0,29.0,27.0,9.0,9.0,9.0,0.0
2,971.847521,0.0,0.0,0.0,-6.744641603984967,-26.22412671545255,-13.301338435355355,17.0,81.0,70.0,34.0,34.0,33.0,9.0,9.0,9.0,0.0
3,971.997081,0.0,0.0,0.0,-5.593035713696997,-21.12768038190621,-10.818070699177103,18.0,79.0,75.0,39.0,40.0,39.0,9.0,9.0,9.0,0.0
4,972.144344,0.0,0.0,0.0,-4.637040811009573,-16.933299155471566,-8.845421726874644,18.0,80.0,73.0,43.0,44.0,42.0,9.0,9.0,9.0,0.0
5,972.290664,0.0,0.0,0.0,-3.8608487118734307,-13.312509273791798,-7.165809929390469,18.0,82.0,75.0,47.0,47.0,46.0,9.0,9.0,9.0,0.0
6,972.47217,0.0,0.0,0.0,-3.3264277802419104,-10.522199606569256,-5.92858925056328,17.0,80.0,72.0,50.0,50.0,49.0,9.0,9.0,9.0,0.0
7,972.628343,0.0,0.0,0.0,-2.912896870373902,-8.393582343580245,-4.90614347496054,17.0,79.0,73.0,52.0,52.0,52.0,9.0,9.0,9.0,0.0
8,972.774798,0.0,0.0,0.0,-2.480467630095785,-6.8765058964613415,-4.064351862049794,18.0,77.0,73.0,54.0,54.0,54.0,9.0,9.0,9.0,0.0
9,972.921801,0.0,0.0,0.0,-2.0123748556102625,-5.492610521435745,-3.3309910876924826,19.0,79.0,74.0,55.0,56.0,55.0,9.0,9.0,9.0,0.0
10,973.067603,0.0,0.0,0.0,-1.6118521232023943,-4.422400146227703,-2.7246078415243256,19.0,78.0,74.0,57.0,57.0,57.0,9.0,9.0,9.0,0.0
11,973.220931,0.0,0.0,0.0,-1.4791114884190102,-3.382051454415749,-2.232177970790608,17.0,80.0,74.0,58.0,58.0,58.0,9.0,9.0,9.0,0.0
12,973.389766,0.0,0.0,0.0,-1.2203753528561552,-2.879782892033523,-1.8321609166840291,19.0,76.0,74.0,59.0,59.0,59.0,9.0,9.0,9.0,0.0
13,973.539862,0.0,0.0,0.0,-0.9681522775211087,-2.266647791114463,-1.308775459150029,19.0,79.0,78.0,60.0,60.0,60.0,9.0,9.0,9.0,0.0
14,973.686909,0.0,0.0,0.0,-0.9561095023256128,-1.897461489292014,-1.0889986320274057,17.0,77.0,73.0,60.0,61.0,60.0,9.0,9.0,9.0,0.0
15,973.832967,0.0,0.0,0.0,-0.795504114360396,-1.639709955270335,-1.1132899064419917,19.0,77.0,70.0,61.0,61.0,61.0,9.0,9.0,9.0,0.0
16,973.979843,0.0,0.0,0.0,-0.8152025733188548,-1.6219657254569733,-0.8168894354993701,17.0,75.0,77.0,61.0,62.0,61.0,9.0,9.0,9.0,0.0
17,974.132067,0.0,0.0,0.0,-0.8731233650744747,-1.2642638428713497,-0.5504159273245706,17.0,79.0,76.0,62.0,62.0,62.0,9.0,9.0,9.0,0.0
18,974.294823,0.0,0.0,0.0,-0.8234401958913784,-0.8904000912425163,-0.49469639830483203,18.0,79.0,73.0,62.0,63.0,62.0,9.0,9.0,9.0,0.0
19,974.445888,0.0,0.0,0.0,-0.8584272809453046,-0.6841827907027249,-0.43178292774613514,17.0,78.0,74.0,62.0,63.0,62.0,9.0,9.0,9.0,0.0
20,974.592475,0.0,0.0,0.0,-0.9078789515945145,-0.6336198192516438,-0.36938208947122364,17.0,77.0,74.0,63.0,63.0,62.0,9.0,9.0,9.0,0.0
21,974.738549,0.0,0.0,0.0,-0.947727475660086,-0.42055477236216543,-0.3684113711068724,17.0,79.0,73.0,63.0,63.0,63.0,9.0,9.0,9.0,0.0
22,974.886905,0.0,0.0,0.0,-0.8839336844264611,-0.3979802991899932,-0.3783121365339639,18.0,77.0,73.0,63.0,64.0,63.0,9.0,9.0,9.0,0.0
23,975.037863,0.0,0.0,0.0,-0.8114831099424333,-0.3255124325870442,-0.4357588420522278,18.0,78.0,72.0,63.0,64.0,63.0,9.0,9.0,9.0,0.0
24,975.201041,0.0,0.0,0.0,-0.9452122793755366,-0.05315410663676001,-0.4930512161163101,16.0,80.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
25,975.353668,0.0,0.0,0.0,-0.9990672454406275,0.016908995690859463,-0.48980196398945264,17.0,78.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
26,975.503968,0.0,0.0,0.0,-0.9253174114912612,0.12784188356358683,-0.5260880728702251,18.0,79.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
27,975.67216,0.0,0.0,0.0,-0.9411479627740551,0.04704309387697769,-0.7152238744383159,17.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
28,975.821393,0.0,0.0,0.0,-0.9750879569631987,0.13209026569048143,-0.9006577622363059,17.0,79.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
29,975.980274,0.0,0.0,0.0,-0.8101151721416646,0.14702680538123314,-0.8522762724064026,19.0,78.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
30,976.130773,0.0,0.0,0.0,-0.6347648732173576,0.13788830619754222,-0.8695017444809356,19.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
31,976.276748,0.0,0.0,0.0,-0.5891797024300698,-0.06149268839054223,-0.9055848863571421,18.0,76.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
32,976.423246,0.0,0.0,0.0,-0.5728848347119944,0.023651523463592117,-0.7858078666502482,18.0,79.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
33,976.569264,0.0,0.0,0.0,-0.5592540758454234,0.05936160957886916,-0.8052904622912505,18.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
34,976.715373,0.0,0.0,0.0,-0.548129661868253,-0.029391780793863287,-0.8536603091462258,18.0,77.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
35,976.892757,0.0,0.0,0.0,-0.44299485115482184,-0.21803102001261543,-0.6444380002322396,19.0,76.0,76.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
36,977.048389,0.0,0.0,0.0,-0.5291611870029116,-0.10314145789038598,-0.47072782795057755,17.0,79.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
37,977.194852,0.0,0.0,0.0,-0.6408065237791982,-0.1396971039441608,-0.5892575581979962,17.0,77.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
38,977.34094,0.0,0.0,0.0,-0.8269112098785314,-0.21174734672427808,-0.7883418119333876,16.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
39,977.48907,0.0,0.0,0.0,-0.9025161864243754,-0.07748034108334068,-0.7116909960860496,17.0,79.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
40,977.635069,0.0,0.0,0.0,-0.8468378077860472,-0.023110609031895102,-0.39743623015279805,18.0,78.0,78.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
41,977.806874,0.0,0.0,0.0,-0.8773996793100745,-0.09645254379968504,-0.596534671224513,17.0,77.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
42,977.961958,0.0,0.0,0.0,-0.8271932078909927,-0.176395660847537,-0.816090559834652,18.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
43,978.108037,0.0,0.0,0.0,-0.9576502487381329,0.047421932714525106,-0.7835370709370684,16.0,80.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
44,978.254438,0.0,0.0,0.0,-0.8168996604889456,0.19508826593377604,-0.8632093707981086,19.0,79.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
45,978.400838,0.0,0.0,0.0,-0.6399613562408444,0.2932798092933071,-0.811923293421537,19.0,79.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
46,978.547131,0.0,0.0,0.0,-0.49723427824592115,-0.011153243189168993,-0.8370326916695241,19.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
47,978.717387,0.0,0.0,0.0,-0.381458462618832,-0.052613538207807675,-0.6808043288719094,19.0,78.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
48,978.877938,0.0,0.0,0.0,-0.38348295360506546,0.1693138508125105,-0.709405028587212,18.0,80.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
49,979.02424,0.0,0.0,0.0,-0.30965805965714877,0.1977426294061817,-0.8255516442971476,19.0,78.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
50,979.170249,0.0,0.0,0.0,-0.6130959529893305,-0.013584832602849595,-0.9795012022275889,15.0,76.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
51,979.316653,0.0,0.0,0.0,-0.46193761011124845,-0.03364594567323431,-1.0156920554495084,20.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
52,979.465383,0.0,0.0,0.0,-0.33062818593401877,-0.48833191014923294,-1.1723995279173187,19.0,73.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
53,979.629454,0.0,0.0,0.0,-0.5345692171882375,-0.5771277444461766,-1.282418116614763,16.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
54,979.780093,0.0,0.0,0.0,-0.7620700229511503,-0.46885992956806,-1.3110182741700693,16.0,78.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
55,979.926367,0.0,0.0,0.0,-0.7534520209180284,-0.3614965060879154,-1.1748983381127711,18.0,78.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
56,980.072513,0.0,0.0,0.0,-0.7050373867755813,0.013413290408616163,-1.2310129768716844,18.0,81.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
57,980.218632,0.0,0.0,0.0,-0.8586943444564454,0.09155546325404229,-1.319803892061409,16.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
58,980.371869,0.0,0.0,0.0,-1.0248944657655317,-0.19630601356346267,-1.0936187600393033,16.0,75.0,75.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
59,980.534874,0.0,0.0,0.0,-0.9669327411687592,-0.20277495985232097,-0.9946575508594973,18.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
60,980.685878,0.0,0.0,0.0,-0.9745794603632869,-0.4331341219163578,-0.9969989649724678,17.0,75.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
61,980.832152,0.0,0.0,0.0,-0.9060893404638191,-0.3948599250828404,-1.0091286692401038,18.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
62,980.978632,0.0,0.0,0.0,-0.9256471192703617,-0.3009144336857563,-1.1674907282455345,17.0,78.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
63,981.125043,0.0,0.0,0.0,-0.770265828896298,-0.1294339154466937,-1.2288740028642453,19.0,79.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
64,981.271233,0.0,0.0,0.0,-0.6024529344203029,-0.16188610435191242,-1.4552736250165892,19.0,77.0,66.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
65,981.430759,0.0,0.0,0.0,-0.5629208502315093,-0.5181849145648489,-1.3844872431647401,18.0,74.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
66,981.581743,0.0,0.0,0.0,-0.7437646173614545,-0.48441913858911256,-1.1631656297568953,16.0,78.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
67,981.728179,0.0,0.0,0.0,-0.5471317467164534,-0.3732094650223856,-1.1119235917288144,20.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
68,981.879176,0.0,0.0,0.0,-0.49626050531604493,0.1001930104493085,-1.3012249118879164,18.0,82.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
69,982.025299,0.0,0.0,0.0,-0.6898224364138068,0.18266096935281162,-1.3482459086277097,16.0,78.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
70,982.171411,0.0,0.0,0.0,-0.7917048553342156,0.16564999497361255,-1.3536310708248176,17.0,78.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
71,982.330094,0.0,0.0,0.0,-0.8529469963309233,0.34533580033457234,-1.4080972859891063,17.0,80.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
72,982.481187,0.0,0.0,0.0,1.0191244884323503,0.3406097590666022,-1.4630919889289364,37.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
73,982.627938,0.0,0.0,0.0,1.0304755412102224,0.2947133501516026,-1.3587517039720298,17.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
74,982.77433,0.0,0.0,0.0,0.9078127081191167,0.16197277522357068,-1.3908201028824307,20.0,77.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
75,982.920757,0.0,0.0,0.0,0.5882298240921737,0.03362268341991692,-1.2013939972111258,17.0,77.0,74.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
76,983.067195,0.0,0.0,0.0,0.3628897714539234,0.21802818204147245,-1.2417694788598694,18.0,80.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
77,983.225709,0.0,0.0,0.0,0.009041558363784397,0.1414760329443081,-1.4279030224163536,16.0,77.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
78,983.38036,0.0,0.0,0.0,0.06455259706801675,0.1123516461013474,-1.5003871483296964,20.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
79,983.532121,0.0,0.0,0.0,-0.09545821072312544,-0.0819129800797942,-1.5374267737460015,17.0,76.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
80,983.679881,0.0,0.0,0.0,-0.09653089812878335,-0.08898292220856474,-1.5678751194584768,19.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
81,983.826474,0.0,0.0,0.0,-0.15133692518404773,-0.05278451679151264,-1.5926718082534992,18.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
82,983.972754,0.0,0.0,0.0,-0.31316202995082776,-0.31233250408156943,-1.6128071419726577,17.0,75.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
83,984.142391,0.0,0.0,0.0,-0.36891108735529876,-0.20078777572884965,-1.629165547569228,18.0,79.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
84,984.297772,0.0,0.0,0.0,-0.48922525652147764,-0.41090927105670483,-1.5928519348884267,17.0,75.0,70.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
85,984.443976,0.0,0.0,0.0,-0.4157236159310771,-0.377179174433913,-1.7015101640297283,19.0,78.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
86,984.590266,0.0,0.0,0.0,-0.5066383444496894,-0.5749203580632773,-1.7723238844918343,17.0,75.0,68.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
87,984.736165,0.0,0.0,0.0,-0.3341390914460627,-0.22171598175802787,-1.6202345736006512,20.0,81.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
88,984.884068,0.0,0.0,0.0,-0.4197780741899524,-0.0022466723667249333,-1.751806184482257,17.0,79.0,66.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
89,985.05389,0.0,0.0,0.0,-0.45615432182871984,0.13270554474287755,-1.774601206221214,18.0,79.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
90,985.209028,0.0,0.0,0.0,-0.3680116362374122,-0.04556579513695436,-1.611298025934998,19.0,76.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
91,985.359194,0.0,0.0,0.0,-0.3720703869647326,-0.05992604526895784,-1.5958956980680525,18.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
92,985.50915,0.0,0.0,0.0,-0.39645743863785476,-0.02921528578019661,-1.4672145940536758,18.0,78.0,72.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
93,985.656467,0.0,0.0,0.0,-0.5120405050251495,-0.10096655079137618,-1.3798119570188967,17.0,77.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
94,985.802433,0.0,0.0,0.0,-0.5304074650894695,-0.08391442190419252,-1.3199469872142073,18.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
95,985.973949,0.0,0.0,0.0,-0.7165384838235918,-0.04903231311040068,-1.3704198114506063,16.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
96,986.128789,0.0,0.0,0.0,-0.5249180455789921,-0.02101995912503174,-1.5318882270625864,20.0,78.0,67.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
97,986.274995,0.0,0.0,0.0,-0.47823035623412036,0.001676434070016608,-1.4855681182976697,18.0,78.0,71.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
98,986.421205,0.0,0.0,0.0,-0.5790679337067131,-0.3642993091950735,-1.504101703788756,17.0,74.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
99,986.567148,0.0,0.0,0.0,-0.4888834959779156,-0.3597283074006232,-1.5411896796634257,19.0,78.0,69.0,64.0,64.0,63.0,9.0,9.0,9.0,0.0
