,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,3054.613973,0.0,0.0,0.0,-14.564842232561013,-63.21929468674335,-30.042161264028056,18.0,77.0,74.0,21.0,21.0,20.0,9.0,9.0,9.0,170.0,0.0
1,3054.771198,0.0,0.0,0.0,-12.013302769135212,-51.11942971417761,-24.23104190220372,17.0,77.0,74.0,29.0,29.0,28.0,9.0,9.0,9.0,178.0,0.0
2,3054.935987,0.0,0.0,0.0,-9.98406148234971,-41.64578928868433,-19.53231094164518,17.0,75.0,74.0,35.0,35.0,34.0,9.0,9.0,9.0,177.0,0.0
3,3055.099883,0.0,0.0,0.0,-8.491363488791333,-34.33249524236332,-15.330667360468194,16.0,73.0,79.0,41.0,41.0,39.0,9.0,9.0,9.0,174.0,0.0
4,3055.259046,0.0,0.0,0.0,-7.156671637413662,-27.835547949441768,-12.221130241510469,17.0,77.0,74.0,45.0,45.0,42.0,9.0,9.0,9.0,173.0,0.0
5,3055.41961,0.0,0.0,0.0,-6.038526362444968,-22.733093396406055,-9.624726501517092,17.0,75.0,76.0,48.0,48.0,46.0,9.0,9.0,9.0,178.0,0.0
6,3055.57721,0.0,0.0,0.0,-4.975669771294634,-18.811772658111252,-7.403343953534464,18.0,74.0,77.0,51.0,51.0,49.0,9.0,9.0,9.0,173.0,0.0
7,3055.741684,0.0,0.0,0.0,-4.389052535619867,-15.348546730490824,-5.582440485236906,16.0,76.0,77.0,53.0,53.0,51.0,9.0,9.0,9.0,171.0,0.0
8,3055.918233,0.0,0.0,0.0,-3.6696273723292228,-12.467668505951394,-3.948574085004222,18.0,76.0,79.0,55.0,55.0,53.0,9.0,9.0,9.0,171.0,0.0
9,3056.078951,0.0,0.0,0.0,-3.3275025070663053,-9.818418416881528,-2.6654894028353313,16.0,78.0,78.0,56.0,57.0,55.0,9.0,9.0,9.0,179.0,0.0
