,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,2846.437642,0.0,0.0,0.0,-14.409832952123427,-63.06428540630577,-30.197170544465646,19.0,78.0,72.0,21.0,21.0,20.0,9.0,9.0,9.0,176.0,0.0
1,2846.607732,0.0,0.0,0.0,-11.389066178183423,-51.115230244976175,-24.545259932280327,20.0,76.0,72.0,29.0,29.0,28.0,9.0,9.0,9.0,178.0,0.0
2,2846.774063,0.0,0.0,0.0,-9.06768431747367,-41.98628424411472,-19.510233485492826,19.0,73.0,78.0,35.0,35.0,34.0,9.0,9.0,9.0,171.0,0.0
3,2846.934538,0.0,0.0,0.0,-7.527243195054914,-34.21012080664301,-15.477992585699727,17.0,76.0,76.0,39.0,40.0,39.0,9.0,9.0,9.0,174.0,0.0
4,2847.093079,0.0,0.0,0.0,-6.031585107520827,-27.789986976996424,-12.624394188130047,19.0,76.0,71.0,43.0,44.0,43.0,9.0,9.0,9.0,167.0,0.0
5,2847.251741,0.0,0.0,0.0,-5.058693178111288,-22.421009636635688,-10.234039288346253,17.0,77.0,73.0,47.0,48.0,47.0,9.0,9.0,9.0,177.0,0.0
6,2847.410696,0.0,0.0,0.0,-4.33594824475001,-18.181330385197782,-7.7921901123200366,17.0,76.0,79.0,50.0,51.0,50.0,9.0,9.0,9.0,174.0,0.0
7,2847.584585,0.0,0.0,0.0,-3.74777880419662,-15.080926640960321,-5.709029788447343,17.0,74.0,79.0,53.0,53.0,52.0,9.0,9.0,9.0,180.0,0.0
8,2847.76029,0.0,0.0,0.0,-3.114750016505904,-12.008199559047192,-3.9411273415596044,18.0,78.0,80.0,54.0,55.0,54.0,9.0,9.0,9.0,172.0,0.0
9,2847.923466,0.0,0.0,0.0,-2.8772513086062608,-9.99755268520859,-2.6435091741935723,16.0,74.0,78.0,56.0,57.0,56.0,9.0,9.0,9.0,177.0,0.0
10,2848.08858,0.0,0.0,0.0,-2.2864490794498264,-8.49952421037186,-1.7778936291668161,19.0,74.0,76.0,57.0,58.0,57.0,9.0,9.0,9.0,175.0,0.0
11,2848.247801,0.0,0.0,0.0,-1.8605247393540667,-6.660440694436019,-0.9523873882094636,18.0,78.0,78.0,58.0,59.0,58.0,9.0,9.0,9.0,175.0,0.0
12,2848.405641,0.0,0.0,0.0,-1.7044380593868813,-5.497901449800494,-0.4027857938393469,17.0,75.0,76.0,59.0,60.0,59.0,9.0,9.0,9.0,177.0,0.0
13,2848.577304,0.0,0.0,0.0,-1.6105896612179085,-4.655796908632411,-0.22262740016870897,17.0,75.0,73.0,60.0,61.0,60.0,9.0,9.0,9.0,175.0,0.0
14,2848.758797,0.0,0.0,0.0,-1.2235960407723252,-4.590229605635884,0.029329384039850304,19.0,71.0,75.0,61.0,61.0,61.0,9.0,9.0,9.0,174.0,0.0
15,2848.954654,0.0,0.0,0.0,-0.9975865577666245,-4.204753232175321,0.2683063692093297,18.0,74.0,75.0,62.0,62.0,61.0,9.0,9.0,9.0,177.0,0.0
16,2849.138384,0.0,0.0,0.0,-0.8484863485025618,-3.324342311166262,0.4619533595912584,18.0,77.0,75.0,62.0,62.0,62.0,9.0,9.0,9.0,172.0,0.0
17,2849.345004,0.0,0.0,0.0,-0.5719102363365534,-3.4408000938397834,0.6966712566402675,19.0,71.0,76.0,62.0,63.0,62.0,9.0,9.0,9.0,172.0,0.0
18,2849.534767,0.0,0.0,0.0,-0.3138308955206459,-2.8071669419328202,0.904008843378203,19.0,77.0,76.0,63.0,63.0,63.0,9.0,9.0,9.0,178.0,0.0
19,2849.758239,0.0,0.0,0.0,-0.25980200803715947,-2.554318748838085,0.9946382805954199,18.0,74.0,75.0,63.0,64.0,63.0,9.0,9.0,9.0,170.0,0.0
20,2849.939511,0.0,0.0,0.0,-0.4042829551686258,-2.2968409849899842,0.9740773771309419,17.0,75.0,74.0,63.0,64.0,63.0,9.0,9.0,9.0,168.0,0.0
21,2850.126467,0.0,0.0,0.0,-0.5543181886983999,-2.36317467721571,0.8635390296915402,17.0,73.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,179.0,0.0
22,2850.324404,0.0,0.0,0.0,-0.365496323334217,-3.1039297729403756,0.602434273996745,19.0,69.0,71.0,64.0,64.0,64.0,9.0,9.0,9.0,172.0,0.0
