,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_adc_filtered_1,x_adc_filtered_2,x_adc_filtered_3,u_1,u_2,u_3,d_stent,J
0,1333.564243,0.0,0.0,0.0,-14.409832952123427,-63.37430396718095,-30.197170544465646,19.0,76.0,72.0,21.0,21.0,20.0,9.0,9.0,9.0,8.0,0.0
1,1333.715767,0.0,0.0,0.0,-11.854094019496188,-51.433647744254216,-24.467755292061536,17.0,76.0,73.0,29.0,29.0,28.0,9.0,9.0,9.0,8.0,0.0
2,1333.86611,0.0,0.0,0.0,-9.855329127265911,-41.77872111296954,-19.740647671548487,17.0,76.0,74.0,35.0,35.0,34.0,9.0,9.0,9.0,8.0,0.0
3,1334.012141,0.0,0.0,0.0,-7.921839198709173,-34.09649673570231,-15.887053187873459,19.0,75.0,74.0,40.0,41.0,40.0,9.0,9.0,9.0,9.0,0.0
4,1334.158618,0.0,0.0,0.0,-6.749149506031327,-27.577799706752174,-12.60129622245799,16.0,77.0,76.0,44.0,45.0,43.0,9.0,9.0,9.0,9.0,0.0
5,1334.305203,0.0,0.0,0.0,-5.897572383545705,-22.525012344096417,-10.053785445201065,16.0,75.0,74.0,48.0,48.0,47.0,9.0,9.0,9.0,9.0,0.0
6,1334.467874,0.0,0.0,0.0,-5.204105599518383,-18.642884032460138,-8.25061127425425,16.0,74.0,71.0,51.0,51.0,50.0,9.0,9.0,9.0,6.0,0.0
7,1334.618844,0.0,0.0,0.0,-4.330443009631465,-15.676345572875334,-6.680123133669604,18.0,73.0,73.0,53.0,54.0,53.0,9.0,9.0,9.0,7.0,0.0
8,1334.765477,0.0,0.0,0.0,-3.709179273157061,-12.988822807324993,-5.137473476133828,17.0,75.0,76.0,55.0,56.0,54.0,9.0,9.0,9.0,10.0,0.0
9,1334.911995,0.0,0.0,0.0,-3.2389635555035605,-10.583276643541765,-3.912320878333138,17.0,76.0,75.0,56.0,57.0,56.0,9.0,9.0,9.0,7.0,0.0
10,1335.058459,0.0,0.0,0.0,-2.856527284443943,-8.751907902947323,-2.857170662934938,17.0,75.0,76.0,57.0,58.0,57.0,9.0,9.0,9.0,9.0,0.0
11,1335.204852,0.0,0.0,0.0,-2.7007385991313315,-6.988175344501457,-2.21566005044387,16.0,77.0,73.0,58.0,59.0,58.0,9.0,9.0,9.0,8.0,0.0
12,1335.377125,0.0,0.0,0.0,-2.1424463241842604,-6.263273019408274,-1.589658700426111,19.0,72.0,75.0,59.0,60.0,59.0,9.0,9.0,9.0,5.0,0.0
13,1335.532451,0.0,0.0,0.0,-1.8984635610411909,-6.151912629649857,-1.201970529729917,17.0,70.0,73.0,60.0,61.0,60.0,9.0,9.0,9.0,7.0,0.0
14,1335.678759,0.0,0.0,0.0,-1.4585349941914605,-5.1950988760276005,-0.8432668019025273,19.0,76.0,74.0,61.0,62.0,61.0,9.0,9.0,9.0,8.0,0.0
15,1335.825379,0.0,0.0,0.0,-1.0336322516293355,-4.216445244831732,-0.5347174526194367,19.0,76.0,74.0,62.0,62.0,61.0,9.0,9.0,9.0,8.0,0.0
16,1335.97171,0.0,0.0,0.0,-0.999468855787065,-3.8899690082674,-0.3617643859682689,17.0,73.0,73.0,62.0,63.0,62.0,9.0,9.0,9.0,10.0,0.0
17,1336.118431,0.0,0.0,0.0,-1.0384754025965575,-3.4150949385742138,-0.16045181197860803,17.0,75.0,74.0,62.0,63.0,62.0,9.0,9.0,9.0,8.0,0.0
18,1336.294927,0.0,0.0,0.0,-0.9139115010423606,-3.7358935303647343,0.020044006119600333,18.0,70.0,74.0,63.0,63.0,62.0,9.0,9.0,9.0,10.0,0.0
19,1336.485588,0.0,0.0,0.0,-0.7792698919842747,-3.6988513274736903,0.16641480065733827,18.0,73.0,74.0,63.0,64.0,63.0,9.0,9.0,9.0,9.0,0.0
20,1336.651597,0.0,0.0,0.0,-0.6705224224659934,-3.41107998004496,0.13026664795142562,18.0,74.0,72.0,63.0,64.0,63.0,9.0,9.0,9.0,8.0,0.0
21,1336.809344,0.0,0.0,0.0,-0.5822593876681208,-2.990377376640623,0.1451311981150054,18.0,75.0,73.0,64.0,64.0,63.0,9.0,9.0,9.0,8.0,0.0
22,1336.966702,0.0,0.0,0.0,-0.5105421412220008,-3.236288690732664,0.09694931119806238,18.0,71.0,72.0,64.0,64.0,64.0,9.0,9.0,9.0,10.0,0.0
23,1337.123314,0.0,0.0,0.0,-0.29727163272075474,-3.1048059863608586,-0.03655748100795808,19.0,74.0,71.0,64.0,65.0,64.0,9.0,9.0,9.0,6.0,0.0
24,1337.273066,0.0,0.0,0.0,-0.5557599321362514,-3.0508033221129978,-0.08390478352553732,16.0,73.0,72.0,64.0,65.0,64.0,9.0,9.0,9.0,9.0,0.0
25,1337.419825,0.0,0.0,0.0,-0.8662028315698973,-2.886675432423999,-0.10537531183704107,16.0,74.0,72.0,65.0,65.0,64.0,9.0,9.0,9.0,10.0,0.0
26,1337.566341,0.0,0.0,0.0,-0.49662918002384204,-3.1847871604266658,-0.2005910261613879,20.0,71.0,71.0,65.0,65.0,64.0,9.0,9.0,9.0,8.0,0.0
27,1337.712825,0.0,0.0,0.0,-0.5280295068826679,-3.527290915954012,-0.13962270167859447,17.0,71.0,73.0,65.0,65.0,64.0,9.0,9.0,9.0,11.0,0.0
28,1337.883857,0.0,0.0,0.0,-0.5008418606366658,-3.9588262450849214,-0.2890149391581831,18.0,70.0,70.0,65.0,65.0,64.0,9.0,9.0,9.0,9.0,0.0
