,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_tof_filtered_1,x_tof_filtered_2,x_tof_filtered_3,u_1,u_2,u_3,J,x_adc_all_raw_History_1,x_adc_all_raw_History_2,x_adc_all_raw_History_3,x_adc_all_raw_History_4,x_adc_all_raw_History_5,x_adc_all_raw_History_6,x_adc_all_raw_History_7,x_adc_all_raw_History_8,x_adc_all_raw_History_9,x_adc_all_raw_History_10,x_adc_all_raw_History_11,x_adc_all_raw_History_12
0,1698.751669,0.0,0.0,0.0,25.0,25.0,24.0,20.0,82.0,72.0,1.2180178758109215,1.929444628457087,1.814698378030286,10.0,10.0,10.0,0.0,59.0,53.0,54.0,54.0,54.0,55.0,54.0,53.0,54.0,53.0,53.0,61.0
1,1698.898203,0.0,0.0,0.0,28.0,28.0,27.0,20.0,78.0,68.0,1.8250691919368975,4.471501739139211,4.03725479601453,10.0,10.0,10.0,0.0,26.0,56.0,56.0,54.0,54.0,54.0,54.0,53.0,54.0,53.0,54.0,41.0
2,1699.044687,0.0,0.0,0.0,34.0,35.0,34.0,19.0,76.0,67.0,2.6498973038633586,7.8860428274747205,7.0231111741458,10.0,10.0,10.0,0.0,16.0,55.0,56.0,55.0,54.0,56.0,56.0,53.0,54.0,53.0,54.0,40.0
3,1699.214634,0.0,0.0,0.0,39.0,40.0,39.0,19.0,76.0,67.0,3.378827072865158,10.889829844309991,9.658385187476341,10.0,10.0,10.0,0.0,17.0,54.0,56.0,56.0,54.0,56.0,56.0,54.0,55.0,54.0,54.0,40.0
4,1699.369229,0.0,0.0,0.0,44.0,44.0,43.0,19.0,76.0,69.0,3.9595064743638195,13.304787597460884,11.81152110580394,10.0,10.0,10.0,0.0,14.0,56.0,56.0,56.0,55.0,56.0,56.0,57.0,56.0,58.0,58.0,42.0
5,1699.516037,0.0,0.0,0.0,47.0,48.0,47.0,19.0,77.0,67.0,4.545898333535556,15.775259615437657,14.021811396338551,10.0,10.0,10.0,0.0,16.0,56.0,56.0,56.0,55.0,56.0,56.0,54.0,56.0,56.0,56.0,38.0
6,1699.662498,0.0,0.0,0.0,50.0,51.0,50.0,18.0,76.0,72.0,5.138239157449751,18.312423632242307,16.31778133985095,10.0,10.0,10.0,0.0,13.0,55.0,56.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,38.0
7,1699.811026,0.0,0.0,0.0,52.0,53.0,52.0,19.0,78.0,69.0,5.680457398170771,20.686867186559493,18.494059999545694,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,55.0,56.0,41.0
8,1699.972021,0.0,0.0,0.0,54.0,54.0,53.0,18.0,76.0,69.0,6.188137947675934,22.938963558129306,20.55535259880918,10.0,10.0,10.0,0.0,14.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,37.0
9,1700.137227,0.0,0.0,0.0,55.0,56.0,55.0,37.0,79.0,70.0,6.893903119458571,25.141041228617507,22.5292987876784,10.0,10.0,10.0,0.0,14.0,55.0,56.0,55.0,55.0,56.0,56.0,55.0,56.0,56.0,57.0,40.0
10,1700.288058,0.0,0.0,0.0,57.0,58.0,57.0,37.0,76.0,72.0,7.9610345941630305,27.26519737866751,24.452647477456967,10.0,10.0,10.0,0.0,13.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,41.0
11,1700.434752,0.0,0.0,0.0,58.0,59.0,58.0,19.0,76.0,67.0,9.025311005951725,29.26541913212231,26.306727774875636,10.0,10.0,10.0,0.0,16.0,55.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,39.0
12,1700.581667,0.0,0.0,0.0,59.0,59.0,58.0,18.0,76.0,69.0,9.62127558100738,31.148350421028468,28.03381924540792,10.0,10.0,10.0,0.0,13.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,57.0,56.0,37.0
13,1700.728121,0.0,0.0,0.0,60.0,60.0,59.0,18.0,74.0,72.0,9.82834375708564,32.92646922221138,29.684849060448737,10.0,10.0,10.0,0.0,13.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
14,1700.881799,0.0,0.0,0.0,60.0,61.0,60.0,19.0,76.0,70.0,10.089278726924135,34.62986307458465,31.337120245798552,10.0,10.0,10.0,0.0,16.0,55.0,56.0,55.0,55.0,56.0,56.0,55.0,56.0,56.0,56.0,39.0
15,1701.047532,0.0,0.0,0.0,61.0,61.0,60.0,18.0,79.0,72.0,10.486707892358359,36.31509283488289,32.973074821785914,10.0,10.0,10.0,0.0,13.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,40.0
16,1701.199388,0.0,0.0,0.0,61.0,61.0,60.0,18.0,79.0,73.0,10.825734137908556,38.019279551988014,34.547613554060995,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,37.0
17,1701.347702,0.0,0.0,0.0,61.0,61.0,60.0,20.0,79.0,70.0,11.116460626779089,39.70267461309875,36.05052294757651,10.0,10.0,10.0,0.0,12.0,55.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,56.0,55.0,39.0
