,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_tof_filtered_1,x_tof_filtered_2,x_tof_filtered_3,u_1,u_2,u_3,J,x_adc_all_raw_History_1,x_adc_all_raw_History_2,x_adc_all_raw_History_3,x_adc_all_raw_History_4,x_adc_all_raw_History_5,x_adc_all_raw_History_6,x_adc_all_raw_History_7,x_adc_all_raw_History_8,x_adc_all_raw_History_9,x_adc_all_raw_History_10,x_adc_all_raw_History_11,x_adc_all_raw_History_12
0,1300.896835,0.0,0.0,0.0,25.0,25.0,24.0,19.0,78.0,71.0,1.2065432507682419,1.8835461282863668,1.803223752987606,10.0,10.0,10.0,0.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0,54.0,60.0
1,1301.04454,0.0,0.0,0.0,28.0,29.0,28.0,18.0,76.0,72.0,1.7701698725817496,4.3207522119747,4.051203226915461,10.0,10.0,10.0,0.0,26.0,58.0,57.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0,54.0,42.0
2,1301.191141,0.0,0.0,0.0,34.0,35.0,33.0,37.0,78.0,72.0,2.748524482567331,7.6690282049217355,7.1642686429136635,10.0,10.0,10.0,0.0,16.0,54.0,56.0,55.0,54.0,56.0,54.0,54.0,54.0,53.0,54.0,38.0
3,1301.34174,0.0,0.0,0.0,39.0,40.0,39.0,20.0,77.0,70.0,3.837324770437191,10.716987511733052,9.988576835774634,10.0,10.0,10.0,0.0,15.0,56.0,56.0,56.0,54.0,56.0,56.0,54.0,56.0,54.0,54.0,41.0
4,1301.505843,0.0,0.0,0.0,44.0,44.0,43.0,20.0,78.0,72.0,4.682246655722499,13.23611136193717,12.289181383631274,10.0,10.0,10.0,0.0,15.0,57.0,56.0,56.0,56.0,56.0,57.0,54.0,56.0,55.0,55.0,38.0
5,1301.656999,0.0,0.0,0.0,48.0,48.0,47.0,20.0,76.0,71.0,5.255444658867068,15.754154554075017,14.59438381884019,10.0,10.0,10.0,0.0,14.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0,57.0,56.0,42.0
6,1301.804282,0.0,0.0,0.0,50.0,51.0,49.0,20.0,76.0,68.0,5.769566272697661,18.274327407507123,16.91463484917178,10.0,10.0,10.0,0.0,17.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,57.0,40.0
7,1301.953405,0.0,0.0,0.0,53.0,53.0,52.0,20.0,81.0,73.0,6.367869661226069,20.663763895732274,19.074539264134465,10.0,10.0,10.0,0.0,13.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0,57.0,55.0,38.0
8,1302.099619,0.0,0.0,0.0,54.0,54.0,54.0,20.0,80.0,72.0,6.947724321836227,23.024821952490356,21.162477007090445,10.0,10.0,10.0,0.0,15.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0,57.0,56.0,41.0
9,1302.246333,0.0,0.0,0.0,56.0,56.0,55.0,37.0,75.0,70.0,7.657345528265469,25.30964485537159,23.218835153783825,10.0,10.0,10.0,0.0,16.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
10,1302.419556,0.0,0.0,0.0,58.0,58.0,57.0,37.0,77.0,73.0,8.702404430840975,27.401459385878557,25.18737435069948,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,40.0
11,1302.574594,0.0,0.0,0.0,59.0,59.0,58.0,20.0,77.0,70.0,9.746632083998833,29.34667646225602,27.038479587184582,10.0,10.0,10.0,0.0,13.0,56.0,56.0,55.0,56.0,56.0,57.0,56.0,57.0,56.0,56.0,40.0
12,1302.72107,0.0,0.0,0.0,59.0,59.0,58.0,20.0,77.0,69.0,10.352317931873195,31.26372095814381,28.79028540486029,10.0,10.0,10.0,0.0,16.0,55.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
13,1302.867759,0.0,0.0,0.0,60.0,60.0,59.0,19.0,75.0,72.0,10.597835542789625,33.114943567355006,30.462630740223506,10.0,10.0,10.0,0.0,15.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0,37.0
14,1303.014381,0.0,0.0,0.0,61.0,61.0,60.0,19.0,75.0,73.0,10.875256944807624,34.82490004651002,32.11071556564172,10.0,10.0,10.0,0.0,12.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0,56.0,56.0,39.0
15,1303.160843,0.0,0.0,0.0,61.0,61.0,60.0,19.0,79.0,71.0,11.254977543812817,36.47635840475421,33.74675338185373,10.0,10.0,10.0,0.0,15.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
16,1303.328094,0.0,0.0,0.0,61.0,61.0,60.0,19.0,74.0,75.0,11.58316042464736,38.101564324719355,35.337491966089054,10.0,10.0,10.0,0.0,14.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,37.0
17,1303.479694,0.0,0.0,0.0,61.0,61.0,60.0,18.0,75.0,66.0,11.854029642802647,39.63301433137959,36.79089492814298,10.0,10.0,10.0,0.0,14.0,55.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,41.0
18,1303.62654,0.0,0.0,0.0,62.0,62.0,61.0,18.0,73.0,70.0,12.11008550912686,41.01933984946162,38.09780180801418,10.0,10.0,10.0,0.0,16.0,55.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,38.0
19,1303.773828,0.0,0.0,0.0,62.0,62.0,61.0,19.0,73.0,70.0,12.359697731687294,42.30614402595837,39.32713527517662,10.0,10.0,10.0,0.0,11.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,39.0
20,1303.92069,0.0,0.0,0.0,62.0,62.0,61.0,20.0,76.0,71.0,12.628218975459912,43.582382135838564,40.56602369230378,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
21,1304.067147,0.0,0.0,0.0,63.0,63.0,62.0,19.0,76.0,70.0,12.912835140007909,44.86963252963815,41.80472365601069,10.0,10.0,10.0,0.0,15.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,37.0
22,1304.238469,0.0,0.0,0.0,63.0,63.0,62.0,20.0,76.0,72.0,13.188253063991883,46.144023411887325,42.98330533805871,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,39.0
23,1304.393182,0.0,0.0,0.0,63.0,63.0,62.0,19.0,77.0,74.0,13.439205690102202,47.37330126678661,44.1506305267551,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,57.0,57.0,56.0,39.0
24,1304.53961,0.0,0.0,0.0,63.0,63.0,62.0,20.0,78.0,68.0,13.682108935131073,48.5672593704757,45.27963374139777,10.0,10.0,10.0,0.0,14.0,56.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
25,1304.685913,0.0,0.0,0.0,63.0,63.0,62.0,19.0,75.0,70.0,13.9183437557242,49.71731349914931,46.29032182849445,10.0,10.0,10.0,0.0,15.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,38.0
26,1304.837505,0.0,0.0,0.0,63.0,63.0,62.0,37.0,80.0,71.0,14.34020806953595,50.83226494686959,47.215093587391145,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
27,1304.984628,0.0,0.0,0.0,62.0,63.0,62.0,20.0,74.0,69.0,14.915114122741773,51.88775348040228,48.12935708117657,10.0,10.0,10.0,0.0,16.0,55.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,39.0
28,1305.148028,0.0,0.0,0.0,63.0,63.0,62.0,17.0,75.0,74.0,15.314669488230493,52.85451034072121,49.072535425664945,10.0,10.0,10.0,0.0,11.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,39.0
29,1305.298717,0.0,0.0,0.0,63.0,63.0,62.0,19.0,75.0,73.0,15.396749481371394,53.732786482334,50.02489922906981,10.0,10.0,10.0,0.0,13.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,40.0
30,1305.446595,0.0,0.0,0.0,63.0,63.0,62.0,20.0,77.0,71.0,15.42674276490471,54.594338976363,50.94924713664961,10.0,10.0,10.0,0.0,16.0,56.0,56.0,56.0,56.0,56.0,58.0,56.0,57.0,57.0,56.0,38.0
31,1305.593037,0.0,0.0,0.0,63.0,63.0,62.0,19.0,78.0,72.0,15.615918020078995,55.50552268816342,51.80232265466529,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
32,1305.739523,0.0,0.0,0.0,63.0,63.0,62.0,19.0,74.0,71.0,15.812066179234305,56.37918458409408,52.57858409976141,10.0,10.0,10.0,0.0,13.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
33,1305.886457,0.0,0.0,0.0,63.0,63.0,62.0,37.0,82.0,75.0,16.130092497617166,57.22224408316203,53.37188737113404,10.0,10.0,10.0,0.0,16.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
34,1306.057216,0.0,0.0,0.0,63.0,63.0,62.0,20.0,79.0,70.0,16.618009599102756,58.10165768124526,54.16395992583384,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
35,1306.212297,0.0,0.0,0.0,63.0,63.0,62.0,18.0,78.0,71.0,16.97173242947501,58.98643963227368,54.87393218751588,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
36,1306.358622,0.0,0.0,0.0,63.0,63.0,62.0,20.0,78.0,69.0,17.022682819743526,59.78304575132856,55.479385714126586,10.0,10.0,10.0,0.0,13.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
37,1306.505341,0.0,0.0,0.0,63.0,63.0,62.0,17.0,79.0,73.0,16.982170152587265,60.50164576522512,56.06973827896471,10.0,10.0,10.0,0.0,16.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,39.0
38,1306.652562,0.0,0.0,0.0,63.0,63.0,62.0,37.0,78.0,70.0,17.263091253170305,61.222340473656914,56.6885179079048,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,37.0
39,1306.799062,0.0,0.0,0.0,63.0,63.0,62.0,18.0,80.0,73.0,17.711595973839596,61.94908078018393,57.30597818735971,10.0,10.0,10.0,0.0,13.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
40,1306.973922,0.0,0.0,0.0,63.0,63.0,62.0,18.0,76.0,71.0,17.956682555844065,62.615104728683335,57.889830380680614,10.0,10.0,10.0,0.0,14.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0,37.0
41,1307.128184,0.0,0.0,0.0,63.0,63.0,62.0,37.0,79.0,70.0,18.13469641760112,63.22465391322608,58.42295095718991,10.0,10.0,10.0,0.0,16.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
42,1307.274631,0.0,0.0,0.0,63.0,63.0,62.0,17.0,79.0,70.0,18.41698848078845,63.8251707746238,58.90080340021469,10.0,10.0,10.0,0.0,12.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,39.0
