,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_tof_filtered_1,x_tof_filtered_2,x_tof_filtered_3,u_1,u_2,u_3,J,x_adc_all_raw_History_1,x_adc_all_raw_History_2,x_adc_all_raw_History_3,x_adc_all_raw_History_4,x_adc_all_raw_History_5,x_adc_all_raw_History_6,x_adc_all_raw_History_7,x_adc_all_raw_History_8,x_adc_all_raw_History_9,x_adc_all_raw_History_10,x_adc_all_raw_History_11,x_adc_all_raw_History_12
0,2507.743479,0.0,0.0,0.0,25.0,25.0,24.0,20.0,77.0,71.0,1.2180178758109215,1.8720715032436868,1.803223752987606,10.0,10.0,10.0,0.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,55.0,53.0,54.0,58.0
1,2507.891986,0.0,0.0,0.0,28.0,28.0,27.0,19.0,78.0,73.0,1.8135945668942177,4.311751392790271,4.06267785195814,10.0,10.0,10.0,0.0,22.0,54.0,55.0,54.0,54.0,54.0,54.0,53.0,54.0,53.0,53.0,42.0
2,2508.038652,0.0,0.0,0.0,34.0,35.0,33.0,20.0,81.0,77.0,2.6294218596362495,7.723336285064662,7.253591837396852,10.0,10.0,10.0,0.0,18.0,54.0,56.0,55.0,54.0,56.0,54.0,53.0,54.0,53.0,54.0,40.0
3,2508.209566,0.0,0.0,0.0,39.0,40.0,39.0,37.0,76.0,72.0,3.5733044593784964,10.84934865427167,10.215292365733621,10.0,10.0,10.0,0.0,16.0,56.0,56.0,55.0,54.0,56.0,56.0,53.0,55.0,54.0,54.0,37.0
4,2508.365695,0.0,0.0,0.0,44.0,45.0,44.0,18.0,80.0,69.0,4.5271027224245675,13.406372256038381,12.578783621943716,10.0,10.0,10.0,0.0,17.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,57.0,58.0,57.0,39.0
5,2508.512373,0.0,0.0,0.0,48.0,48.0,47.0,20.0,78.0,73.0,5.324877298187015,15.949913904881168,14.842624966396162,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,57.0,55.0,55.0,40.0
6,2508.658707,0.0,0.0,0.0,50.0,51.0,50.0,19.0,78.0,71.0,5.858389721261884,18.540229102597053,17.15836761585001,10.0,10.0,10.0,0.0,16.0,56.0,57.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,40.0
7,2508.806656,0.0,0.0,0.0,53.0,54.0,53.0,37.0,76.0,72.0,6.514197188986001,20.940117672302918,19.390927563333598,10.0,10.0,10.0,0.0,14.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0,56.0,56.0,38.0
8,2508.955825,0.0,0.0,0.0,54.0,56.0,54.0,20.0,78.0,73.0,7.432999195793363,23.176543254936917,21.52034856728656,10.0,10.0,10.0,0.0,14.0,56.0,56.0,58.0,56.0,57.0,57.0,56.0,57.0,56.0,56.0,42.0
9,2509.126319,0.0,0.0,0.0,56.0,57.0,56.0,19.0,76.0,69.0,8.1883133674504,25.34012435349478,23.535776549653942,10.0,10.0,10.0,0.0,16.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,38.0
10,2509.281416,0.0,0.0,0.0,58.0,58.0,58.0,37.0,77.0,70.0,8.792380123864264,27.431550827549337,25.429124921143433,10.0,10.0,10.0,0.0,16.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,39.0
11,2509.428177,0.0,0.0,0.0,59.0,59.0,58.0,20.0,75.0,69.0,9.487621661112842,29.404517593296422,27.197317824399768,10.0,10.0,10.0,0.0,12.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,38.0
12,2509.574891,0.0,0.0,0.0,59.0,60.0,59.0,17.0,76.0,71.0,10.134786966212936,31.2688962998636,28.905839716229398,10.0,10.0,10.0,0.0,14.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,41.0
