,t,x_ref_1,x_ref_2,x_ref_3,x_1,x_2,x_3,x_tof_1,x_tof_2,x_tof_3,x_tof_filtered_1,x_tof_filtered_2,x_tof_filtered_3,u_1,u_2,u_3,J,x_adc_all_raw_History_1,x_adc_all_raw_History_2,x_adc_all_raw_History_3,x_adc_all_raw_History_4,x_adc_all_raw_History_5,x_adc_all_raw_History_6,x_adc_all_raw_History_7,x_adc_all_raw_History_8,x_adc_all_raw_History_9,x_adc_all_raw_History_10,x_adc_all_raw_History_11,x_adc_all_raw_History_12
0,1843.243654,0.0,0.0,0.0,25.0,25.0,24.0,19.0,76.0,69.0,3.7901670478765737,12.625696032819054,11.540631069755943,10.0,10.0,10.0,0.0,60.0,16.0,13.0,54.0,56.0,54.0,54.0,53.0,50.0,23.0,23.0,34.0
1,1843.419894,0.0,0.0,0.0,29.0,29.0,27.0,17.0,76.0,72.0,6.3459059805038125,24.56635225574578,22.831853886522268,10.0,10.0,10.0,0.0,17.0,5.0,4.0,54.0,58.0,55.0,54.0,53.0,39.0,6.0,1.0,6.0
2,1843.594938,0.0,0.0,0.0,35.0,35.0,34.0,20.0,77.0,68.0,8.80969871404685,34.37628816746804,31.44324315938709,10.0,10.0,10.0,0.0,11.0,3.0,3.0,55.0,56.0,56.0,56.0,53.0,43.0,9.0,3.0,3.0
3,1843.753628,0.0,0.0,0.0,40.0,40.0,39.0,39.0,78.0,68.0,13.855972658959644,42.527739855249465,38.29836374240142,10.0,10.0,10.0,0.0,5.0,1.0,0.0,54.0,56.0,56.0,56.0,56.0,43.0,9.0,5.0,6.0
4,1843.920665,0.0,0.0,0.0,44.0,44.0,43.0,18.0,80.0,71.0,15.331241112875695,49.49358673856145,44.33550258708121,10.0,10.0,10.0,0.0,6.0,2.0,2.0,55.0,56.0,56.0,56.0,57.0,45.0,9.0,4.0,5.0
5,1844.091551,0.0,0.0,0.0,49.0,48.0,47.0,18.0,75.0,70.0,15.819000124591621,54.443307418841435,49.18514542245693,10.0,10.0,10.0,0.0,7.0,3.0,2.0,55.0,59.0,56.0,56.0,54.0,41.0,7.0,1.0,1.0
6,1844.280226,0.0,0.0,0.0,51.0,51.0,50.0,20.0,77.0,67.0,16.536458195774113,58.606735383315055,52.62475546880995,10.0,10.0,10.0,0.0,3.0,0.0,0.0,55.0,57.0,56.0,56.0,56.0,42.0,8.0,3.0,4.0
7,1844.452449,0.0,0.0,0.0,54.0,53.0,52.0,19.0,76.0,65.0,17.032886966299134,61.90348829609572,55.00955235698399,10.0,10.0,10.0,0.0,8.0,3.0,3.0,55.0,58.0,57.0,56.0,56.0,44.0,8.0,3.0,3.0
8,1844.609394,0.0,0.0,0.0,55.0,54.0,53.0,16.0,78.0,67.0,16.936355187411987,64.8577031591043,57.192335995481464,10.0,10.0,10.0,0.0,3.0,0.0,0.0,55.0,57.0,56.0,56.0,56.0,41.0,6.0,1.0,2.0
9,1844.758945,0.0,0.0,0.0,58.0,56.0,55.0,18.0,78.0,65.0,17.06857049863979,67.32460466171757,58.723597966921254,10.0,10.0,10.0,0.0,6.0,2.0,1.0,55.0,58.0,56.0,56.0,55.0,42.0,6.0,1.0,1.0
10,1844.906033,0.0,0.0,0.0,59.0,58.0,57.0,19.0,79.0,68.0,17.399483344660716,69.48259880115316,60.364958767411736,10.0,10.0,10.0,0.0,5.0,1.0,1.0,55.0,57.0,56.0,56.0,56.0,45.0,10.0,5.0,5.0
11,1845.052004,0.0,0.0,0.0,59.0,59.0,58.0,19.0,78.0,69.0,17.700617271433828,71.11381600401656,61.95425541446581,10.0,10.0,10.0,0.0,7.0,3.0,2.0,54.0,56.0,56.0,56.0,55.0,42.0,7.0,2.0,1.0
12,1845.197732,0.0,0.0,0.0,60.0,59.0,58.0,20.0,78.0,68.0,18.099449595862822,72.40513814626841,63.12202979382221,10.0,10.0,10.0,0.0,3.0,1.0,0.0,54.0,57.0,56.0,56.0,55.0,40.0,5.0,1.0,1.0
13,1845.343738,0.0,0.0,0.0,61.0,60.0,59.0,19.0,77.0,66.0,18.30167383698758,73.29970482113453,63.72652797949022,10.0,10.0,10.0,0.0,3.0,1.0,1.0,55.0,57.0,56.0,56.0,56.0,44.0,9.0,5.0,5.0
14,1845.489927,0.0,0.0,0.0,61.0,61.0,59.0,36.0,79.0,67.0,21.067239519396207,74.30327585670446,64.30662792776583,10.0,10.0,10.0,0.0,6.0,3.0,2.0,54.0,56.0,56.0,55.0,55.0,43.0,9.0,3.0,3.0
15,1845.635772,0.0,0.0,0.0,62.0,61.0,60.0,20.0,78.0,69.0,21.40010347187072,75.03071067663156,65.12250253812145,10.0,10.0,10.0,0.0,4.0,2.0,1.0,54.0,56.0,56.0,55.0,55.0,40.0,5.0,0.0,0.0
16,1845.793335,0.0,0.0,0.0,62.0,61.0,60.0,37.0,77.0,67.0,23.762958895885443,75.43225140988768,65.54140022659348,10.0,10.0,10.0,0.0,2.0,0.0,0.0,55.0,57.0,56.0,56.0,56.0,42.0,7.0,3.0,3.0
17,1845.956271,0.0,0.0,0.0,63.0,61.0,60.0,17.0,79.0,64.0,23.156372280818776,76.03562111158628,65.3487940192569,10.0,10.0,10.0,0.0,4.0,1.0,1.0,55.0,58.0,56.0,56.0,55.0,43.0,8.0,3.0,5.0
