xHistory,uHistory,tHistory,rHistory,JHistory
[[71]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.1,[[-1000.]],0.0
[[70]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.2,[[-1000.]],0.0
[[70]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.30000000000000004,[[-1000.]],0.0
[[69]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.4,[[-1000.]],0.0
[[68]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.5,[[-1000.]],0.0
[[67]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.6,[[-1000.]],0.0
[[67]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.7,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.7999999999999999,[[-1000.]],0.0
[[67]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.8999999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",0.9999999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.0999999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.2,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.3,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.4000000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.5000000000000002,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.6000000000000003,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.7000000000000004,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.8000000000000005,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",1.9000000000000006,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.0000000000000004,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.1000000000000005,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.2000000000000006,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.3000000000000007,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.400000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.500000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.600000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.700000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.800000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",2.9000000000000012,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.0000000000000013,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.1000000000000014,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.2000000000000015,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.3000000000000016,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.4000000000000017,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.5000000000000018,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.600000000000002,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.700000000000002,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.800000000000002,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",3.900000000000002,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.000000000000002,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.100000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.200000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.300000000000001,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.4,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.5,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.6,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.699999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.799999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.899999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",4.999999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.099999999999998,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.1999999999999975,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.299999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.399999999999997,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.4999999999999964,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.599999999999996,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.699999999999996,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.799999999999995,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.899999999999995,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",5.999999999999995,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.099999999999994,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.199999999999994,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.299999999999994,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.399999999999993,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.499999999999993,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.5999999999999925,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.699999999999992,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.799999999999992,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.8999999999999915,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",6.999999999999991,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.099999999999991,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.19999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.29999999999999,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.39999999999999,[[-1000.]],0.0
[[68]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.499999999999989,[[-1000.]],0.0
[[63]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.599999999999989,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.699999999999989,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.799999999999988,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.899999999999988,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",7.999999999999988,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.099999999999987,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.199999999999987,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.299999999999986,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.399999999999986,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.499999999999986,[[-1000.]],0.0
[[66]],"[[10.]
 [10.]
 [10.]
 [10.]]",8.599999999999985,[[-1000.]],0.0
