xHistory,uHistory,tHistory,rHistory,JHistory
[54.43529931 54.36957702 54.86728677],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.1,[[-1000. -1000. -1000.]],0.0
[54.43496017 54.37772885 54.8681513 ],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.2,[[-1000. -1000. -1000.]],0.0
[54.43445706 54.38517792 54.86985514],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.30000000000000004,[[-1000. -1000. -1000.]],0.0
[54.43383051 54.39194445 54.87224633],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.4,[[-1000. -1000. -1000.]],0.0
[54.43311507 54.39805361 54.87518832],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.5,[[-1000. -1000. -1000.]],0.0
[54.43233994 54.40353448 54.87855928],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.6,[[-1000. -1000. -1000.]],0.0
[54.43152957 54.40841911 54.88225122],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.7,[[-1000. -1000. -1000.]],0.0
[54.43070426 54.41274173 54.88616914],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.7999999999999999,[[-1000. -1000. -1000.]],0.0
[54.42988061 54.41653799 54.89023017],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.8999999999999999,[[-1000. -1000. -1000.]],0.0
[54.42907204 54.41984437 54.89436263],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",0.9999999999999999,[[-1000. -1000. -1000.]],0.0
[54.42828919 54.42269762 54.89850521],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.0999999999999999,[[-1000. -1000. -1000.]],0.0
[54.42754023 54.42513428 54.90260608],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.2,[[-1000. -1000. -1000.]],0.0
[54.42683131 54.4271903  54.90662202],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.3,[[-1000. -1000. -1000.]],0.0
[54.42616677 54.42890065 54.91051764],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.4000000000000001,[[-1000. -1000. -1000.]],0.0
[54.42554943 54.43029912 54.91426455],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.5000000000000002,[[-1000. -1000. -1000.]],0.0
[54.42498087 54.43141804 54.91784067],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.6000000000000003,[[-1000. -1000. -1000.]],0.0
[54.4244616  54.43228811 54.92122947],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.7000000000000004,[[-1000. -1000. -1000.]],0.0
[54.42399125 54.4329383  54.92441931],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.8000000000000005,[[-1000. -1000. -1000.]],0.0
[54.42356877 54.43339574 54.92740284],"[[40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]
 [40. 40. 40.]]",1.9000000000000006,[[-1000. -1000. -1000.]],0.0
