,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
1,0,1831.486289,36,33,34,35,35
2,0,1831.561254,38,33,36,37,39
3,0,1831.636272,36,36,41,38,38
4,0,1831.711252,37,38,40,37,36
5,0,1831.78626,37,37,36,39,37
6,0,1831.86126,38,35,35,38,37
7,0,1832.011303,39,38,37,38,36
8,0,1832.161292,35,36,37,36,37
9,0,1832.311285,37,37,35,37,39
10,0,1832.461297,36,36,38,36,35
11,0,1832.611317,34,34,35,33,34
12,0,1832.761298,33,33,34,34,35
13,0,1832.911295,34,36,37,35,36
14,0,1833.061294,35,34,35,35,36
15,0,1833.211296,35,34,36,38,35
16,0,1833.361294,35,37,36,38,35
17,0,1833.511339,37,35,39,36,36
18,0,1833.661307,36,37,36,38,36
19,0,1833.811293,35,34,35,38,36
20,0,1833.961284,36,37,34,38,34
21,0,1834.111324,34,36,36,37,37
22,0,1834.261307,35,35,36,35,36
23,0,1834.411305,37,34,37,37,35
24,0,1834.561304,37,37,37,38,35
25,0,1834.711316,36,37,37,35,38
26,0,1834.861304,35,37,36,38,38
27,0,1835.011322,36,37,36,35,37
28,0,1835.161304,37,35,36,37,38
29,0,1835.311309,38,36,38,36,36
30,0,1835.461301,34,34,35,38,36
31,0,1835.611329,36,37,37,37,35
32,0,1835.761316,37,37,37,37,36
33,0,1835.911333,37,37,36,39,36
34,0,1836.061317,34,36,37,34,36
35,0,1836.211309,37,36,35,37,36
36,0,1836.361315,37,36,36,35,38
37,0,1836.511326,35,37,38,38,37
38,0,1836.661306,35,34,35,37,36
39,0,1836.811419,36,34,36,37,38
40,0,1836.961276,35,34,35,34,36
41,0,1837.111286,35,37,35,35,36
42,0,1837.261277,35,38,34,36,34
43,0,1837.411327,37,35,35,37,38
44,0,1837.561301,37,35,36,37,37
45,0,1837.711329,35,35,36,34,37
46,0,1837.861302,35,37,32,38,36
47,0,1838.011309,39,38,36,35,35
48,0,1838.161307,36,36,36,39,37
49,0,1838.31129,36,35,37,36,35
50,0,1838.461295,37,37,36,36,37
51,0,1838.611308,36,34,39,39,37
52,0,1838.761304,35,38,37,34,37
53,0,1838.91129,36,36,36,37,37
54,0,1839.061303,36,37,37,38,36
55,0,1839.211364,37,38,39,39,37
56,0,1839.36131,37,38,37,38,36
57,0,1839.511372,35,36,39,37,37
58,0,1839.661308,35,36,40,37,37
59,0,1839.81132,37,36,38,37,37
60,0,1839.961329,37,37,36,38,39
61,0,1840.111387,38,39,38,41,40
62,0,1840.261292,42,42,38,38,38
63,0,1840.411337,38,39,39,40,38
64,0,1840.561334,37,40,39,43,40
65,0,1840.711335,41,40,40,40,39
66,0,1840.861329,41,40,42,40,39
67,0,1841.011344,38,42,41,42,41
68,0,1841.161284,40,40,40,40,41
69,0,1841.311307,38,42,42,41,42
70,0,1841.461289,40,41,42,39,43
71,0,1841.612368,41,40,42,40,42
72,0,1841.761298,43,39,42,40,40
73,0,1841.911298,40,41,40,40,41
74,0,1842.061296,41,41,41,42,40
75,0,1842.211289,40,39,39,39,39
76,0,1842.361296,41,40,40,40,42
77,0,1842.511402,39,41,42,39,40
78,0,1842.661297,41,40,40,41,40
79,0,1842.811286,40,39,39,39,39
80,0,1842.961288,37,39,36,40,40
81,0,1843.111287,37,36,38,35,37
82,0,1843.261284,35,36,38,35,37
83,0,1843.41128,36,36,38,39,37
84,0,1843.561311,36,35,35,39,38
85,0,1843.711299,35,38,36,36,38
86,0,1843.861298,35,37,35,35,36
87,0,1844.011306,35,36,38,36,34
88,0,1844.161313,36,37,38,35,37
89,0,1844.311303,35,38,38,36,38
90,0,1844.461306,36,34,35,35,36
91,0,1844.611311,37,39,36,35,38
92,0,1844.76131,37,36,35,35,36
93,0,1844.911292,36,35,37,37,34
94,0,1845.061307,36,36,36,37,36
95,0,1845.211292,37,38,36,36,39
96,0,1845.361309,37,36,39,34,37
97,0,1845.511289,35,36,36,35,37
98,0,1845.661314,35,35,38,36,38
99,0,1845.811303,34,36,36,35,37
100,0,1845.962119,37,35,36,36,36
101,0,1846.1113,35,35,38,37,36
102,0,1846.261301,35,35,36,37,36
103,0,1846.411299,36,35,36,37,37
104,0,1846.5613,35,34,35,36,37
105,0,1846.711301,39,36,36,36,36
106,0,1846.861315,35,36,35,36,37
107,0,1847.011302,37,38,36,35,37
108,0,1847.161311,34,35,35,37,36
109,0,1847.311294,37,35,37,38,35
110,0,1847.461308,37,37,37,37,38
111,0,1847.611305,36,37,38,36,37
112,0,1847.761309,36,36,38,37,36
113,0,1847.911301,36,34,35,34,37
114,0,1848.06132,37,37,37,37,38
115,0,1848.211316,38,35,37,37,38
116,0,1848.361445,35,37,35,37,35
117,0,1848.511295,35,36,35,36,35
118,0,1848.661284,36,36,36,37,35
119,0,1848.811285,36,37,36,36,37
120,0,1848.96128,35,34,38,37,38
121,0,1849.111302,36,37,34,36,36
122,0,1849.261294,36,37,37,39,36
123,0,1849.411307,37,36,36,35,37
124,0,1849.561292,35,35,37,36,34
125,0,1849.711733,38,38,40,37,37
126,0,1849.861285,35,37,37,38,36
127,0,1850.011293,35,37,38,36,35
128,0,1850.161312,36,37,37,37,37
129,0,1850.311292,34,36,35,38,37
130,0,1850.461312,35,37,34,38,35
131,0,1850.61129,35,37,38,36,37
132,0,1850.761319,36,36,37,35,37
133,0,1850.911289,34,35,37,35,37
134,0,1851.061362,34,36,37,38,37
135,0,1851.211326,38,36,37,36,34
136,0,1851.361331,37,36,35,37,38
137,0,1851.511299,37,36,36,36,39
138,0,1851.661311,35,37,36,37,37
139,0,1851.811318,36,39,37,37,38
140,0,1851.961319,36,38,39,36,36
141,0,1852.111283,37,38,35,39,36
142,0,1852.261282,36,37,40,36,37
143,0,1852.411302,36,38,36,38,39
144,0,1852.561477,35,38,37,37,38
145,0,1852.711312,39,36,37,36,37
146,0,1852.861326,38,37,36,39,36
147,0,1853.011316,38,35,36,37,37
148,1,1855.336278,34,36,37,39,38
149,1,1855.486323,37,36,38,36,38
150,1,1855.636316,37,38,38,38,37
151,1,1855.786335,35,35,37,36,37
152,1,1855.936312,38,37,37,40,37
153,1,1856.086306,35,37,36,38,36
154,1,1856.236315,35,37,38,38,36
155,1,1856.386333,37,39,38,37,36
156,1,1856.536319,37,36,37,35,36
157,1,1856.686308,36,36,37,36,40
158,1,1856.836313,37,37,34,36,38
159,1,1856.986321,37,37,37,39,38
160,1,1857.136327,36,37,37,38,37
161,1,1857.286311,35,38,34,37,37
162,1,1857.436322,36,36,36,36,36
163,1,1857.586344,38,38,37,35,35
164,1,1857.736332,36,35,35,37,36
165,1,1857.886394,36,38,38,38,36
166,1,1858.036304,36,35,36,38,36
167,1,1858.186309,37,37,36,39,34
168,1,1858.336305,34,37,35,37,36
169,1,1858.486307,36,35,37,37,36
170,1,1858.638183,37,36,38,37,38
171,1,1858.786334,35,35,37,37,35
172,1,1858.936331,37,37,35,37,38
173,1,1859.086336,36,37,37,36,38
174,1,1859.236325,37,36,36,37,36
175,1,1859.386288,35,36,37,35,35
176,1,1859.536301,36,36,38,36,37
177,1,1859.686338,36,36,37,35,37
178,1,1859.836409,35,37,37,38,39
179,1,1859.986309,35,36,35,36,37
180,1,1860.136309,36,37,35,35,36
181,1,1860.286318,36,37,36,37,36
182,1,1860.436308,35,34,37,36,38
183,1,1860.586308,37,36,39,35,38
184,1,1860.736303,35,36,36,38,38
185,1,1860.886295,35,37,36,38,36
186,1,1861.036531,35,34,37,38,38
187,1,1861.186302,35,36,36,36,36
188,1,1861.33632,34,37,37,35,37
189,1,1861.486306,35,39,36,37,38
190,1,1861.636317,38,36,36,36,36
191,1,1861.786306,36,36,36,36,37
192,1,1861.936326,33,37,37,35,38
193,1,1862.086296,34,36,38,37,36
194,1,1862.236327,36,38,36,36,37
195,1,1862.386305,34,36,36,37,37
196,1,1862.53631,36,34,36,36,37
197,1,1862.686312,34,36,36,36,35
198,1,1862.836344,36,36,37,35,37
199,1,1862.986314,35,36,35,36,36
200,1,1863.136385,35,36,36,36,35
201,1,1863.286298,34,38,37,37,37
202,1,1863.436313,38,38,39,37,39
203,1,1863.586303,36,39,37,38,39
204,1,1863.736359,37,36,36,37,39
205,1,1863.886302,37,36,38,38,36
206,1,1864.038285,35,37,37,38,34
207,1,1864.186306,37,38,37,37,40
208,1,1864.336295,39,38,38,38,38
209,1,1864.486296,38,36,38,40,36
210,1,1864.646608,36,37,39,39,38
211,1,1864.786308,37,39,40,40,40
212,1,1864.936317,37,37,39,39,40
213,1,1865.086297,38,36,39,40,40
214,1,1865.236311,39,39,40,38,37
215,1,1865.386413,36,40,39,38,40
216,1,1865.536305,37,37,38,40,39
217,1,1865.686296,38,37,40,41,40
218,1,1865.836303,40,39,40,42,39
219,1,1865.986299,39,39,39,40,40
220,1,1866.136317,39,39,39,39,39
221,1,1866.286315,39,38,36,38,38
222,1,1866.436315,38,37,37,39,40
223,1,1866.586299,39,38,39,38,38
224,1,1866.736302,39,38,39,39,40
225,1,1866.88629,36,38,40,39,41
226,1,1867.036298,40,38,39,39,40
227,1,1867.186322,39,38,37,40,38
228,1,1867.336301,38,37,36,37,39
229,1,1867.486285,38,38,37,35,35
230,1,1867.6363,36,36,36,37,37
231,1,1867.786301,36,37,37,37,37
232,1,1867.936298,35,36,36,39,37
233,1,1868.086297,34,35,37,37,36
234,1,1868.236301,36,37,34,39,37
235,1,1868.386305,36,35,37,39,37
236,1,1868.536307,37,35,36,36,39
237,1,1868.686295,38,38,36,37,39
238,1,1868.836302,38,36,37,37,35
239,1,1868.986303,35,36,38,37,37
240,1,1869.136298,37,36,37,39,36
241,1,1869.286297,35,36,37,38,36
242,1,1869.436303,36,36,37,36,36
243,1,1869.586332,35,33,37,36,36
244,1,1869.736344,36,36,34,36,35
245,1,1869.886342,37,37,35,34,39
246,1,1870.036341,36,34,37,37,37
247,1,1870.186289,37,37,38,36,37
248,1,1870.336326,34,37,37,39,38
249,1,1870.486303,35,36,35,37,37
250,1,1870.636334,35,36,35,37,39
251,1,1870.786325,37,36,37,37,38
252,1,1870.936317,36,37,37,34,37
253,1,1871.086307,35,36,38,34,34
254,1,1871.236311,36,37,36,35,37
255,1,1871.38632,38,36,37,35,36
256,1,1871.536305,37,35,35,35,37
257,1,1871.686315,35,37,37,39,38
258,1,1871.836313,37,35,37,39,33
259,1,1871.986343,35,37,37,37,37
260,1,1872.136321,37,36,37,36,37
261,1,1872.286302,37,36,36,36,36
262,1,1872.436302,35,35,37,36,38
263,1,1872.586303,36,37,36,39,36
264,1,1872.736308,35,35,37,35,36
265,1,1872.886297,35,36,36,38,34
266,1,1873.036306,35,36,36,37,37
267,1,1873.186315,36,37,37,37,38
268,1,1873.33631,35,38,36,35,38
269,1,1873.486305,34,37,36,35,37
270,1,1873.636307,37,36,35,36,37
271,1,1873.78629,36,35,37,35,36
272,1,1873.936307,34,37,34,34,36
273,1,1874.086328,34,36,37,35,35
274,1,1874.236307,35,37,38,38,37
275,1,1874.386333,35,35,34,37,37
276,1,1874.53631,34,36,35,36,36
277,1,1874.686329,35,36,35,36,37
278,1,1874.836305,35,33,35,35,35
279,1,1874.986318,32,35,36,35,36
280,1,1875.136287,35,38,37,34,35
281,1,1875.286279,35,36,36,35,35
282,1,1875.436277,36,37,36,38,39
283,1,1875.586292,36,35,36,36,35
284,1,1875.736299,37,38,36,38,35
285,1,1875.886318,37,35,37,34,35
286,1,1876.036314,34,37,35,37,37
287,1,1876.186308,37,37,36,36,38
288,1,1876.336316,35,37,38,38,35
289,1,1876.486321,36,35,35,36,35
290,1,1876.637912,35,35,37,37,38
291,1,1876.786306,33,36,36,37,35
292,1,1876.936298,36,35,34,36,37
293,1,1877.086361,36,37,38,38,34
294,1,1877.236295,37,34,36,35,36
295,2,1879.336272,35,35,36,36,37
296,2,1879.486294,36,35,35,35,34
297,2,1879.636293,34,35,34,36,36
298,2,1879.786291,35,37,35,34,35
299,2,1879.936295,34,37,37,35,36
300,2,1880.086287,37,36,36,36,36
301,2,1880.23629,35,35,36,34,36
302,2,1880.386288,35,34,34,36,36
303,2,1880.536284,35,37,35,36,35
304,2,1880.686319,35,34,36,35,35
305,2,1880.836301,36,35,37,36,34
306,2,1880.986297,33,38,35,34,36
307,2,1881.136299,35,34,36,37,37
308,2,1881.2863,36,35,36,35,35
309,2,1881.436297,33,36,33,35,36
310,2,1881.586309,36,36,36,33,36
311,2,1881.736299,35,35,36,36,36
312,2,1881.886309,34,39,35,34,35
313,2,1882.036298,36,34,34,38,36
314,2,1882.186301,34,36,35,35,34
315,2,1882.3363,34,34,35,36,35
316,2,1882.486301,34,36,36,36,38
317,2,1882.636299,35,35,37,37,38
318,2,1882.786318,34,34,33,36,35
319,2,1882.936305,35,34,35,36,38
320,2,1883.086297,34,36,34,36,35
321,2,1883.236293,34,35,35,34,36
322,2,1883.386295,33,35,35,36,37
323,2,1883.536293,36,37,36,34,34
324,2,1883.68631,33,36,36,36,35
325,2,1883.836297,35,35,36,34,35
326,2,1883.986303,35,33,36,35,35
327,2,1884.136292,35,36,34,36,36
328,2,1884.286293,35,33,34,35,34
329,2,1884.436292,34,35,35,37,34
330,2,1884.586297,35,32,35,36,37
331,2,1884.736335,34,36,35,35,37
332,2,1884.886323,36,35,34,33,36
333,2,1885.036338,36,35,36,34,37
334,2,1885.18631,36,34,36,35,36
335,2,1885.336312,35,35,35,33,35
336,2,1885.486291,33,34,38,35,36
337,2,1885.636293,36,35,37,36,35
338,2,1885.786303,34,34,36,35,36
339,2,1885.936315,34,36,37,37,36
340,2,1886.086316,35,34,34,36,35
341,2,1886.236309,34,36,35,34,37
342,2,1886.386314,36,35,37,37,36
343,2,1886.536314,36,35,35,34,36
344,2,1886.686308,35,36,35,36,37
345,2,1886.836313,35,32,36,36,36
346,2,1886.986301,36,34,36,34,35
347,2,1887.136308,36,35,35,35,35
348,2,1887.286308,33,35,38,37,36
349,2,1887.436319,36,37,41,39,38
350,2,1887.586302,36,36,36,35,38
351,2,1887.736316,36,39,39,36,38
352,2,1887.886389,33,37,36,37,35
353,2,1888.036329,35,36,38,36,37
354,2,1888.186292,37,37,39,39,37
355,2,1888.336326,37,38,39,40,39
356,2,1888.486294,38,38,38,37,41
357,2,1888.636289,37,37,36,40,38
358,2,1888.786281,38,39,39,40,41
359,2,1888.936309,37,37,38,38,39
360,2,1889.086306,39,36,40,40,37
361,2,1889.236303,39,41,39,39,39
362,2,1889.386313,37,38,38,40,39
363,2,1889.536306,37,37,38,40,43
364,2,1889.686315,37,38,40,36,39
365,2,1889.836311,38,39,39,36,40
366,2,1889.986303,39,39,39,38,38
367,2,1890.136304,38,37,39,40,39
368,2,1890.286302,38,40,38,40,38
369,2,1890.436315,38,38,41,38,40
370,2,1890.586302,39,39,38,40,39
371,2,1890.736305,38,40,39,40,39
372,2,1890.886311,37,39,39,38,38
373,2,1891.036318,40,39,38,38,40
374,2,1891.186302,37,38,39,37,39
375,2,1891.336313,37,37,38,35,38
376,2,1891.486311,33,37,36,35,36
377,2,1891.636318,35,37,38,34,38
378,2,1891.786312,35,38,36,36,36
379,2,1891.936332,36,35,37,38,37
380,2,1892.086305,36,35,35,36,36
381,2,1892.236355,34,36,36,35,36
382,2,1892.386311,34,34,37,36,34
383,2,1892.536309,36,35,36,37,37
384,2,1892.686307,35,34,38,36,37
385,2,1892.836319,36,35,36,37,35
386,2,1892.986311,34,35,36,37,37
387,2,1893.136314,34,36,35,38,32
388,2,1893.286305,35,35,36,34,34
389,2,1893.436314,34,35,34,35,37
390,2,1893.586314,35,38,35,35,36
391,2,1893.736335,36,37,35,35,35
392,2,1893.886315,35,37,37,38,34
393,2,1894.036337,34,35,36,36,36
394,2,1894.186311,34,36,36,36,35
395,2,1894.336313,33,35,35,35,36
396,2,1894.486309,36,36,34,36,34
397,2,1894.636337,33,35,35,36,34
398,2,1894.786321,35,36,36,35,34
399,2,1894.93635,37,36,36,34,35
